"",BBEX3.M.SCR.USD.CA.AA.A01,BBEX3.M.SCR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Seychelles / USD 1 = SCR ... (buying),
unit,SCR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:39,
1981-01,6.6000,
1981-02,6.7200,
1981-03,5.8600,comment
1981-04,5.9500,
1981-05,6.1400,
1981-06,6.2200,
1981-07,6.3700,
1981-08,6.3500,
1981-09,6.2500,
1981-10,6.2800,
1981-11,6.1400,
1981-12,6.1800,
1982-01,6.2800,
1982-02,6.3500,
1982-03,6.4400,
1982-04,6.3800,
1982-05,6.3800,
1982-06,6.5900,
1982-07,6.5700,
1982-08,6.6400,
1982-09,6.6900,
1982-10,6.7300,
1982-11,6.6500,
1982-12,6.4900,
1983-01,6.6100,
1983-02,6.5900,
1983-03,6.6800,
1983-04,6.6500,
1983-05,6.6700,
1983-06,6.7300,
1983-07,6.7900,
1983-08,6.8700,
1983-09,6.8100,
1983-10,6.7800,
1983-11,6.8700,
1983-12,6.8800,
1984-01,6.9600,
1984-02,6.8200,
1984-03,6.7400,
1984-04,6.8500,
1984-05,6.9100,
1984-06,6.9700,
1984-07,7.1000,
1984-08,7.0700,
1984-09,7.2000,
1984-10,7.2400,
1984-11,7.2500,
1984-12,7.3200,
1985-01,7.3800,
1985-02,7.5000,
1985-03,7.2900,
1985-04,7.2800,
1985-05,7.2300,
1985-06,7.2100,
1985-07,6.9700,
1985-08,6.9400,
1985-09,6.8000,
1985-10,6.7100,
1985-11,6.6000,
1985-12,6.5600,
1986-01,6.5000,
1986-02,6.2000,
1986-03,6.3200,
1986-04,6.1000,
1986-05,6.2300,
1986-06,6.1500,
1986-07,6.0100,
1986-08,5.9500,
1986-09,5.9400,
1986-10,5.9800,
1986-11,5.9600,
1986-12,5.8900,
1987-01,5.6800,
1987-02,5.6900,
1987-03,5.5900,
1987-04,5.5100,
1987-05,5.5800,
1987-06,5.6300,
1987-07,5.6800,
1987-08,5.5800,
1987-09,5.6200,
1987-10,5.4300,
1987-11,5.3100,
1987-12,5.1100,
1988-01,5.2500,
1988-02,5.2800,
1988-03,5.2000,
1988-04,5.2000,
1988-05,5.2400,
1988-06,5.4900,
1988-07,5.5000,
1988-08,5.5600,
1988-09,5.5700,
1988-10,5.3800,
1988-11,5.2700,
1988-12,5.3600,
1989-01,5.4900,
1989-02,5.4100,
1989-03,5.5600,
1989-04,5.5100,
1989-05,5.7300,
1989-06,5.7700,
