"",BBFN1.M.DE.N.1.L.CO.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CO.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Columbia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:28,
1995-01,0.017,
1995-02,0.017,
1995-03,0.018,
1995-04,0.014,
1995-05,0.017,
1995-06,0.017,
1995-07,0.017,
1995-08,0.016,
1995-09,0.015,
1995-10,0.014,
1995-11,0.016,
1995-12,0.028,
1996-01,0.031,
1996-02,0.031,
1996-03,0.031,
1996-04,0.032,
1996-05,0.029,
1996-06,0.027,
1996-07,0.028,
1996-08,0.027,
1996-09,0.044,
1996-10,0.030,
1996-11,0.028,
1996-12,0.027,
1997-01,0.027,
1997-02,0.029,
1997-03,0.028,
1997-04,0.028,
1997-05,0.027,
1997-06,0.025,
1997-07,0.030,
1997-08,0.033,
1997-09,0.033,
1997-10,0.035,
1997-11,0.034,
1997-12,0.037,
1998-01,0.034,
1998-02,0.033,
1998-03,0.029,
1998-04,0.031,
1998-05,0.032,
1998-06,0.030,
1998-07,0.026,
1998-08,0.025,
1998-09,0.026,
1998-10,0.029,
1998-11,0.026,
1998-12,0.025,
1999-01,0.028,
1999-02,0.024,
1999-03,0.023,
1999-04,0.023,
1999-05,0.019,
1999-06,0.022,
1999-07,0.030,
1999-08,0.021,
1999-09,0.033,
1999-10,0.034,
1999-11,0.039,
1999-12,0.051,
2000-01,0.052,
2000-02,0.047,
2000-03,0.054,
2000-04,0.056,
2000-05,0.050,
2000-06,0.047,
2000-07,0.048,
2000-08,0.054,
2000-09,0.052,
2000-10,0.057,
2000-11,0.056,
2000-12,0.063,
2001-01,0.064,
2001-02,0.061,
2001-03,0.069,
2001-04,0.072,
2001-05,0.060,
2001-06,0.069,
2001-07,0.063,
2001-08,0.063,
2001-09,0.055,
2001-10,0.055,
2001-11,0.033,
2001-12,0.059,
2002-01,0.051,
2002-02,0.145,
2002-03,0.076,
2002-04,0.041,
2002-05,0.037,
2002-06,0.039,
2002-07,0.023,
2002-08,0.018,
2002-09,0.049,
2002-10,0.010,
2002-11,0.011,
2002-12,0.010,
2003-01,0.010,
2003-02,0.010,
2003-03,0.010,
2003-04,0.009,
2003-05,0.010,
2003-06,0.011,
2003-07,0.010,
2003-08,0.010,
2003-09,0.009,
2003-10,0.008,
2003-11,0.032,
2003-12,0.031,
2004-01,0.032,
2004-02,0.034,
2004-03,0.026,
2004-04,0.029,
2004-05,0.025,
2004-06,0.024,
2004-07,0.022,
2004-08,0.022,
2004-09,0.025,
2004-10,0.020,
2004-11,0.013,
2004-12,0.021,
2005-01,0.022,
2005-02,0.023,
2005-03,0.026,
2005-04,0.031,
2005-05,0.034,
2005-06,0.035,
2005-07,0.033,
2005-08,0.031,
2005-09,0.045,
2005-10,0.041,
2005-11,0.021,
2005-12,0.026,
2006-01,0.022,
2006-02,0.039,
2006-03,0.035,
2006-04,0.034,
2006-05,0.047,
2006-06,0.044,
2006-07,0.043,
2006-08,0.018,
2006-09,0.013,
2006-10,0.011,
2006-11,0.012,
2006-12,0.014,
2007-01,0.011,
2007-02,0.021,
2007-03,0.023,
2007-04,0.040,
2007-05,0.041,
2007-06,0.325,
2007-07,0.041,
2007-08,0.041,
2007-09,0.050,
2007-10,0.042,
2007-11,0.042,
2007-12,0.054,
2008-01,0.048,
2008-02,0.049,
2008-03,0.047,
2008-04,0.040,
2008-05,0.043,
2008-06,0.029,
2008-07,0.027,
2008-08,0.027,
2008-09,0.039,
2008-10,0.033,
2008-11,0.025,
2008-12,0.034,
2009-01,0.040,
2009-02,0.021,
2009-03,0.027,
2009-04,0.031,
2009-05,0.035,
2009-06,0.043,
2009-07,0.041,
2009-08,0.029,
2009-09,0.051,
2009-10,0.051,
2009-11,0.043,
2009-12,0.058,
2010-01,0.045,
2010-02,0.051,
2010-03,0.055,
2010-04,0.051,
2010-05,0.049,
2010-06,0.051,
2010-07,0.042,
2010-08,0.050,
2010-09,0.069,
2010-10,0.065,
2010-11,0.054,
2010-12,0.039,
2011-01,0.042,
2011-02,0.032,
2011-03,0.050,
2011-04,0.052,
2011-05,0.037,
2011-06,0.036,
2011-07,0.035,
2011-08,0.037,
2011-09,0.050,
2011-10,0.042,
2011-11,0.039,
2011-12,0.040,
2012-01,0.038,
2012-02,0.042,
2012-03,0.064,
2012-04,0.048,
2012-05,0.032,
2012-06,0.056,
2012-07,0.048,
2012-08,0.038,
2012-09,0.055,
2012-10,0.034,
2012-11,0.028,
2012-12,0.064,
2013-01,0.064,
2013-02,0.039,
2013-03,0.064,
2013-04,0.049,
2013-05,0.044,
2013-06,0.082,
2013-07,0.049,
2013-08,0.051,
2013-09,0.057,
2013-10,0.059,
2013-11,0.051,
2013-12,0.062,
2014-01,0.039,
2014-02,0.038,
2014-03,0.039,
2014-04,0.018,
2014-05,0.019,
2014-06,0.020,
2014-07,0.018,
2014-08,0.019,
2014-09,0.034,
2014-10,0.034,
2014-11,0.043,
2014-12,0.033,
