"",BBFB1.Q.N.DE.US.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:51,
1991-01,4397.473,
1991-04,5561.516,
1991-07,4795.714,
1991-10,4728.473,
1992-01,5571.457,
1992-04,5003.209,
1992-07,4543.337,
1992-10,4963.048,
1993-01,4943.280,
1993-04,4848.128,
1993-07,4418.190,
1993-10,4778.028,
1994-01,5057.657,
1994-04,5175.603,
1994-07,4668.988,
1994-10,5460.965,
1995-01,5332.264,
1995-04,5084.317,
1995-07,4799.176,
1995-10,5616.428,
1996-01,5674.270,
1996-04,5762.221,
1996-07,5348.073,
1996-10,5757.530,
1997-01,6131.290,
1997-04,6966.984,
1997-07,6451.440,
1997-10,6845.115,
1998-01,7287.558,
1998-04,7485.061,
1998-07,7309.657,
1998-10,7430.700,
1999-01,7663.108,
1999-04,8089.263,
1999-07,8036.852,
1999-10,8734.895,
2000-01,8714.575,
2000-04,9702.549,
2000-07,9067.457,
2000-10,11018.684,
2001-01,10562.616,
2001-04,9713.183,
2001-07,8147.268,
2001-10,8383.278,
2002-01,8225.617,
2002-04,8464.310,
2002-07,7116.762,
2002-10,7805.912,
2003-01,7619.708,
2003-04,7290.432,
2003-07,7204.237,
2003-10,6902.570,
2004-01,6504.254,
2004-04,8459.532,
2004-07,6975.401,
2004-10,7640.438,
2005-01,6555.772,
2005-04,8026.895,
2005-07,7323.373,
2005-10,8416.388,
2006-01,8528.960,
2006-04,9032.365,
2006-07,8704.889,
2006-10,9531.352,
2007-01,9804.623,
2007-04,9563.402,
2007-07,9232.558,
2007-10,9109.809,
2008-01,9008.090,
2008-04,9219.366,
2008-07,9291.067,
2008-10,9845.548,
2009-01,9235.379,
2009-04,7337.516,
2009-07,6944.829,
2009-10,7781.487,
2010-01,8159.571,
2010-04,9102.293,
2010-07,9829.021,
2010-10,10118.254,
2011-01,10394.675,
2011-04,9644.285,
2011-07,9955.263,
2011-10,10453.892,
2012-01,10755.390,
2012-04,11100.900,
2012-07,11074.950,
2012-10,10822.215,
2013-01,10560.157,
2013-04,10389.224,
2013-07,10600.393,
2013-10,10167.376,
2014-01,10341.799,Provisional value
2014-04,10729.216,Provisional value
2014-07,9976.594,Provisional value
