"",BBK01.OEXL08N,BBK01.OEXL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:35,
2002-01,30.389,
2002-04,30.614,
2002-07,30.707,
2002-10,33.808,
2003-01,35.524,
2003-04,36.069,
2003-07,36.880,
2003-10,39.121,
2004-01,40.089,
2004-04,40.329,
2004-07,40.293,
2004-10,5.745,
2005-01,5.907,
2005-04,5.946,
2005-07,5.882,
2005-10,5.948,
2006-01,5.886,
2006-04,5.732,
2006-07,5.506,
2006-10,5.549,
2007-01,5.504,
2007-04,5.545,
2007-07,5.603,
2007-10,5.840,
2008-01,5.945,
2008-04,5.830,
2008-07,5.738,
2008-10,5.867,
2009-01,5.972,
2009-04,6.117,
2009-07,6.702,
2009-10,7.390,
2010-01,7.390,
2010-04,7.196,
2010-07,7.071,
2010-10,7.050,
2011-01,6.963,
2011-04,6.487,
2011-07,6.193,
2011-10,6.259,
2012-01,6.169,
2012-04,6.154,
2012-07,6.290,
2012-10,6.452,
2013-01,6.405,
2013-04,6.390,
2013-07,6.496,
2013-10,6.631,
2014-01,6.610,
2014-04,6.501,
2014-07,6.369,
