"",BBK01.OEXO01N,BBK01.OEXO01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:20,
2002-01,34.222,
2002-04,35.384,
2002-07,35.385,
2002-10,35.493,
2003-01,38.319,
2003-04,39.685,
2003-07,39.896,
2003-10,40.396,
2004-01,42.463,
2004-04,43.276,
2004-07,43.392,
2004-10,7.654,
2005-01,7.874,
2005-04,8.139,
2005-07,7.969,
2005-10,7.662,
2006-01,7.696,
2006-04,7.693,
2006-07,7.668,
2006-10,7.647,
2007-01,7.872,
2007-04,8.744,
2007-07,9.240,
2007-10,9.701,
2008-01,10.520,
2008-04,10.929,
2008-07,11.068,
2008-10,11.286,
2009-01,13.631,
2009-04,13.571,
2009-07,13.494,
2009-10,13.990,
2010-01,13.458,
2010-04,12.364,
2010-07,11.986,
2010-10,11.674,
2011-01,12.731,
2011-04,13.193,
2011-07,12.946,
2011-10,12.707,
2012-01,12.336,
2012-04,11.760,
2012-07,11.775,
2012-10,11.610,
2013-01,11.019,
2013-04,10.300,
2013-07,9.782,
2013-10,9.640,
2014-01,9.616,
2014-04,9.479,
2014-07,9.266,
