"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:48,
1991-01,2.274,
1991-04,146.567,
1991-07,-4.337,
1991-10,210.462,
1992-01,-41.725,
1992-04,-9.053,
1992-07,89.443,
1992-10,-110.512,
1993-01,-16.448,
1993-04,-10.413,
1993-07,403.819,
1993-10,484.702,
1994-01,-76.657,
1994-04,-15.647,
1994-07,2.767,
1994-10,-15.427,
1995-01,-131.633,
1995-04,-201.481,
1995-07,201.526,
1995-10,-157.519,
1996-01,128.921,
1996-04,-171.390,
1996-07,58.247,
1996-10,40.351,
1997-01,115.758,
1997-04,348.287,
1997-07,47.417,
1997-10,439.337,
1998-01,571.589,
1998-04,479.214,
1998-07,-168.481,
1998-10,-0.462,
1999-01,599.968,
1999-04,55.121,
1999-07,44.306,
1999-10,705.011,
2000-01,595.338,
2000-04,699.703,
2000-07,212.409,
2000-10,15.299,
2001-01,47.973,
2001-04,-121.754,
2001-07,-149.088,
2001-10,-606.770,
2002-01,-308.997,
2002-04,-649.757,
2002-07,-213.727,
2002-10,-1100.010,
2003-01,-560.039,
2003-04,-677.965,
2003-07,-204.635,
2003-10,399.104,
2004-01,-661.945,
2004-04,88.551,
2004-07,180.733,
2004-10,-330.741,
2005-01,182.460,
2005-04,-173.214,
2005-07,-311.214,
2005-10,21.333,
2006-01,329.510,
2006-04,-222.418,
2006-07,12.154,
2006-10,95.438,
2007-01,-35.941,
2007-04,258.737,
2007-07,94.355,
2007-10,112.759,
2008-01,102.954,
2008-04,28.571,
2008-07,224.833,
2008-10,-257.657,
2009-01,-203.886,
2009-04,-58.904,
2009-07,-178.575,
2009-10,45.796,
2010-01,-162.370,
2010-04,274.737,
2010-07,168.450,
2010-10,39.179,
2011-01,179.593,
2011-04,184.479,
2011-07,44.168,
2011-10,126.139,
2012-01,103.889,
2012-04,215.960,
2012-07,64.797,
2012-10,238.170,
2013-01,204.722,
2013-04,175.667,
2013-07,947.983,
2013-10,724.275,
2014-01,8.961,Provisional value
2014-04,537.092,Provisional value
2014-07,-350.016,Provisional value
2014-10,166.447,Provisional value
