"",BBK01.CEBEX0,BBK01.CEBEX0_FLAGS
"",short-term loans debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:29,
1991-01,10.6,
1991-04,12.9,
1991-07,13.0,
1991-10,12.4,
1992-01,12.2,
1992-04,13.5,
1992-07,15.3,
1992-10,16.3,
1993-01,16.4,
1993-04,17.7,
1993-07,17.2,
1993-10,17.5,
1994-01,18.6,
1994-04,19.5,
1994-07,20.2,
1994-10,19.9,
1995-01,20.7,
1995-04,21.5,
1995-07,20.3,
1995-10,22.9,
1996-01,26.0,
1996-04,27.5,
1996-07,26.5,
1996-10,33.7,
1997-01,39.2,
1997-04,44.5,
1997-07,39.2,
1997-10,43.5,
1998-01,48.2,
1998-04,54.5,
1998-07,47.3,
1998-10,47.0,
1999-01,57.9,
1999-04,69.8,
1999-07,58.8,
1999-10,65.9,
2000-01,100.0,
2000-04,117.6,
2000-07,111.6,
2000-10,109.5,
2001-01,126.4,
2001-04,120.4,
2001-07,122.9,
2001-10,109.1,
2002-01,104.4,
2002-04,99.3,
2002-07,99.4,
2002-10,96.1,
2003-01,115.9,
2003-04,115.1,
2003-07,118.9,
2003-10,112.3,
2004-01,121.8,
2004-04,111.4,
2004-07,108.0,
2004-10,106.1,
2005-01,108.5,
2005-04,112.7,
2005-07,133.9,
2005-10,128.4,
2006-01,158.5,
2006-04,169.1,
2006-07,177.2,
2006-10,154.5,
2007-01,178.0,
2007-04,194.2,
2007-07,195.2,
2007-10,173.5,
2008-01,209.5,
2008-04,220.6,
2008-07,212.4,
2008-10,219.6,
2009-01,240.1,
2009-04,250.5,
2009-07,236.5,
2009-10,255.7,
2010-01,225.5,
2010-04,261.3,
2010-07,261.8,
2010-10,261.9,
2011-01,267.9,
2011-04,315.0,
2011-07,364.1,
2011-10,337.8,
2012-01,366.1,
2012-04,401.8,
2012-07,386.1,
2012-10,372.4,
2013-01,408.2,
2013-04,461.2,
2013-07,228.2,
2013-10,205.7,
2014-01,220.9,
