"",BBDR1.Q.DE.N.VDP.VMFHIMKW.P.I03.A,BBDR1.Q.DE.N.VDP.VMFHIMKW.P.I03.A_FLAGS
"","/ Index for multi-family houses, capital value / Germany / Unadjusted figure",
unit,2003=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 09:13:30,
2003-01,100.6,
2003-04,99.9,
2003-07,100.0,
2003-10,99.5,
2004-01,99.6,
2004-04,99.8,
2004-07,99.9,
2004-10,98.2,
2005-01,98.2,
2005-04,97.5,
2005-07,98.7,
2005-10,99.0,
2006-01,98.0,
2006-04,98.5,
2006-07,97.0,
2006-10,99.3,
2007-01,101.0,
2007-04,101.3,
2007-07,100.7,
2007-10,103.1,
2008-01,102.6,
2008-04,101.8,
2008-07,102.6,
2008-10,102.0,
2009-01,100.7,
2009-04,101.4,
2009-07,101.6,
2009-10,101.4,
2010-01,101.8,
2010-04,101.4,
2010-07,101.8,
2010-10,102.3,
2011-01,102.4,
2011-04,103.2,
2011-07,106.7,
2011-10,107.4,
2012-01,108.9,
2012-04,108.7,
2012-07,109.8,
2012-10,112.4,
2013-01,112.9,
2013-04,114.0,
2013-07,116.5,
2013-10,117.3,
2014-01,119.5,
2014-04,122.0,
2014-07,124.9,
