"",BBK01.OELJ04O,BBK01.OELJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:40,
2002-01,0.568,
2002-04,0.538,
2002-07,0.561,
2002-10,0.503,
2003-01,0.506,
2003-04,0.494,
2003-07,0.525,
2003-10,0.561,
2004-01,0.564,
2004-04,0.521,
2004-07,0.542,
2004-10,0.592,
2005-01,0.643,
2005-04,0.622,
2005-07,0.661,
2005-10,0.704,
2006-01,0.699,
2006-04,0.634,
2006-07,0.678,
2006-10,0.693,
2007-01,0.725,
2007-04,0.747,
2007-07,0.775,
2007-10,0.877,
2008-01,0.809,
2008-04,0.870,
2008-07,1.032,
2008-10,1.027,
2009-01,0.889,
2009-04,0.895,
2009-07,0.804,
2009-10,0.876,
2010-01,0.728,
2010-04,0.669,
2010-07,0.708,
2010-10,0.820,
2011-01,0.773,
2011-04,0.826,
2011-07,0.911,
2011-10,0.851,
2012-01,0.779,
2012-04,0.804,
2012-07,0.773,
2012-10,0.705,
2013-01,0.670,
2013-04,0.615,
2013-07,0.687,
2013-10,0.655,
2014-01,0.645,
2014-04,0.666,
2014-07,0.643,
