"",BBK01.OEAF15Q,BBK01.OEAF15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:26,
2002-01,1.685,
2002-04,1.663,
2002-07,1.635,
2002-10,1.555,
2003-01,1.455,
2003-04,1.435,
2003-07,1.509,
2003-10,1.427,
2004-01,1.353,
2004-04,1.244,
2004-07,1.234,
2004-10,1.192,
2005-01,1.185,
2005-04,1.144,
2005-07,1.148,
2005-10,1.164,
2006-01,1.137,
2006-04,1.113,
2006-07,1.087,
2006-10,1.101,
2007-01,1.060,
2007-04,1.059,
2007-07,1.045,
2007-10,1.079,
2008-01,1.022,
2008-04,1.035,
2008-07,1.022,
2008-10,1.092,
2009-01,0.981,
2009-04,0.947,
2009-07,0.951,
2009-10,0.913,
2010-01,0.923,
2010-04,0.902,
2010-07,0.897,
2010-10,0.872,
2011-01,0.859,
2011-04,0.853,
2011-07,0.839,
2011-10,0.796,
2012-01,0.789,
2012-04,0.772,
2012-07,0.784,
2012-10,0.770,
2013-01,0.745,
2013-04,0.761,
2013-07,0.770,
2013-10,0.752,
2014-01,0.747,
2014-04,0.738,
2014-07,0.711,
