"",BBK01.OECL02G,BBK01.OECL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:25,
2002-01,1.748,
2002-04,2.507,
2002-07,2.403,
2002-10,2.465,
2003-01,2.388,
2003-04,2.406,
2003-07,2.322,
2003-10,2.541,
2004-01,2.407,
2004-04,2.474,
2004-07,2.386,
2004-10,2.511,
2005-01,4.123,
2005-04,4.291,
2005-07,4.238,
2005-10,4.402,
2006-01,4.409,
2006-04,4.440,
2006-07,4.216,
2006-10,4.320,
2007-01,4.326,
2007-04,4.643,
2007-07,4.741,
2007-10,4.973,
2008-01,4.786,
2008-04,4.814,
2008-07,4.928,
2008-10,6.171,
2009-01,6.305,
2009-04,6.266,
2009-07,6.063,
2009-10,5.951,
2010-01,6.076,
2010-04,6.390,
2010-07,6.227,
2010-10,6.428,
2011-01,6.319,
2011-04,6.555,
2011-07,6.594,
2011-10,6.567,
2012-01,6.594,
2012-04,6.792,
2012-07,6.925,
2012-10,7.130,
2013-01,7.144,
2013-04,7.309,
2013-07,7.266,
2013-10,7.537,
2014-01,7.516,
2014-04,7.723,
2014-07,7.823,
