"",BBK01.OEAA03T,BBK01.OEAA03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:18,
2002-01,2.187,
2002-04,2.228,
2002-07,2.349,
2002-10,2.230,
2003-01,2.322,
2003-04,2.313,
2003-07,2.386,
2003-10,2.290,
2004-01,2.241,
2004-04,2.248,
2004-07,2.255,
2004-10,2.203,
2005-01,2.193,
2005-04,2.180,
2005-07,2.261,
2005-10,2.195,
2006-01,2.248,
2006-04,2.264,
2006-07,2.293,
2006-10,2.169,
2007-01,2.272,
2007-04,2.377,
2007-07,2.305,
2007-10,2.386,
2008-01,2.448,
2008-04,2.419,
2008-07,2.352,
2008-10,2.362,
2009-01,2.455,
2009-04,1.987,
2009-07,1.909,
2009-10,1.979,
2010-01,1.953,
2010-04,1.831,
2010-07,1.760,
2010-10,1.629,
2011-01,1.679,
2011-04,1.673,
2011-07,1.686,
2011-10,1.629,
2012-01,1.686,
2012-04,1.751,
2012-07,1.768,
2012-10,1.763,
2013-01,1.745,
2013-04,1.894,
2013-07,1.941,
2013-10,1.760,
2014-01,2.205,
2014-04,2.160,
2014-07,2.330,
