"",BBK01.OELB19S,BBK01.OELB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:26,
2002-01,0.079,
2002-04,0.079,
2002-07,0.078,
2002-10,0.077,
2003-01,0.076,
2003-04,0.072,
2003-07,0.071,
2003-10,0.077,
2004-01,0.072,
2004-04,0.070,
2004-07,0.067,
2004-10,0.060,
2005-01,0.056,
2005-04,0.054,
2005-07,0.053,
2005-10,0.052,
2006-01,0.050,
2006-04,0.048,
2006-07,0.047,
2006-10,0.045,
2007-01,0.042,
2007-04,0.039,
2007-07,0.037,
2007-10,0.030,
2008-01,0.027,
2008-04,0.026,
2008-07,0.025,
2008-10,0.024,
2009-01,0.024,
2009-04,0.025,
2009-07,0.027,
2009-10,0.025,
2010-01,0.025,
2010-04,0.024,
2010-07,0.024,
2010-10,0.026,
2011-01,0.027,
2011-04,0.026,
2011-07,0.026,
2011-10,0.026,
2012-01,0.027,
2012-04,0.029,
2012-07,0.030,
2012-10,0.031,
2013-01,0.030,
2013-04,0.035,
2013-07,0.036,
2013-10,0.033,
2014-01,0.032,
2014-04,0.033,
2014-07,0.032,
