"",BBFB1.Q.N.DE.GB.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:13,
1991-01,1382.629,
1991-04,938.987,
1991-07,959.504,
1991-10,987.680,
1992-01,787.323,
1992-04,800.535,
1992-07,837.072,
1992-10,878.350,
1993-01,869.356,
1993-04,918.049,
1993-07,907.959,
1993-10,922.754,
1994-01,486.775,
1994-04,491.084,
1994-07,498.154,
1994-10,500.141,
1995-01,488.883,
1995-04,486.269,
1995-07,490.849,
1995-10,557.134,
1996-01,420.091,
1996-04,412.263,
1996-07,444.275,
1996-10,431.734,
1997-01,405.616,
1997-04,418.641,
1997-07,419.938,
1997-10,423.449,
1998-01,875.829,
1998-04,888.847,
1998-07,934.444,
1998-10,1014.913,
1999-01,905.788,
1999-04,946.662,
1999-07,994.328,
1999-10,1008.282,
2000-01,1867.602,
2000-04,1942.771,
2000-07,2109.783,
2000-10,2448.455,
2001-01,790.087,
2001-04,782.251,
2001-07,827.860,
2001-10,874.882,
2002-01,1374.636,
2002-04,1359.152,
2002-07,1442.158,
2002-10,1551.110,
2003-01,2348.030,
2003-04,2459.892,
2003-07,2361.369,
2003-10,2192.656,
2004-01,1988.331,
2004-04,1741.999,
2004-07,1676.161,
2004-10,1705.725,
2005-01,637.190,
2005-04,651.487,
2005-07,654.765,
2005-10,632.191,
2006-01,1338.685,
2006-04,1164.470,
2006-07,1175.379,
2006-10,1337.522,
2007-01,889.489,
2007-04,754.754,
2007-07,814.165,
2007-10,739.130,
2008-01,1141.646,
2008-04,1093.834,
2008-07,1143.591,
2008-10,1085.831,
2009-01,1702.603,
2009-04,1608.490,
2009-07,1712.376,
2009-10,1786.924,
2010-01,1826.617,
2010-04,1983.817,
2010-07,2097.932,
2010-10,2225.351,
2011-01,2885.205,
2011-04,2933.583,
2011-07,2987.749,
2011-10,3090.026,
2012-01,3821.050,
2012-04,3870.300,
2012-07,3939.049,
2012-10,3966.135,
2013-01,4742.624,
2013-04,4815.011,
2013-07,4748.331,
2013-10,4656.841,
2014-01,3907.047,Provisional value
2014-04,3892.350,Provisional value
2014-07,3853.253,Provisional value
