"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Sea transport / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:15,
1991-01,-13.264,
1991-02,-53.794,
1991-03,22.412,
1991-04,30.350,
1991-05,7.442,
1991-06,-1.496,
1991-07,23.127,
1991-08,13.313,
1991-09,31.603,
1991-10,63.322,
1991-11,23.066,
1991-12,73.616,
1992-01,-14.366,
1992-02,1.247,
1992-03,5.238,
1992-04,57.067,
1992-05,40.851,
1992-06,-15.269,
1992-07,76.254,
1992-08,17.021,
1992-09,42.245,
1992-10,30.147,
1992-11,29.887,
1992-12,23.888,
1993-01,53.988,
1993-02,63.659,
1993-03,87.330,
1993-04,82.938,
1993-05,69.978,
1993-06,73.521,
1993-07,72.463,
1993-08,48.864,
1993-09,42.060,
1993-10,64.162,
1993-11,117.327,
1993-12,64.679,
1994-01,76.353,
1994-02,59.028,
1994-03,89.001,
1994-04,81.349,
1994-05,91.255,
1994-06,46.290,
1994-07,8.038,
1994-08,32.568,
1994-09,40.055,
1994-10,56.042,
1994-11,67.041,
1994-12,-5.834,
1995-01,76.011,
1995-02,22.737,
1995-03,60.562,
1995-04,-41.048,
1995-05,81.767,
1995-06,24.307,
1995-07,72.845,
1995-08,63.559,
1995-09,32.309,
1995-10,61.125,
1995-11,70.539,
1995-12,52.495,
1996-01,-83.032,
1996-02,-116.845,
1996-03,-166.881,
1996-04,-35.924,
1996-05,-91.428,
1996-06,-141.195,
1996-07,-197.371,
1996-08,35.043,
1996-09,-132.324,
1996-10,-110.063,
1996-11,-126.389,
1996-12,-105.877,
1997-01,-65.924,
1997-02,-121.703,
1997-03,-116.793,
1997-04,-133.240,
1997-05,-13.405,
1997-06,-152.612,
1997-07,-70.952,
1997-08,-86.557,
1997-09,-140.458,
1997-10,-152.511,
1997-11,-100.328,
1997-12,-129.802,
1998-01,-90.879,
1998-02,-161.332,
1998-03,-97.615,
