"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Current account / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:13,
1991-01,-6.50,
1991-04,-7.49,
1991-07,-4.22,
1991-10,-2.33,
1992-01,-4.94,
1992-04,-5.96,
1992-07,-2.62,
1992-10,-5.49,
1993-01,-2.75,
1993-04,-5.54,
1993-07,-5.47,
1993-10,-4.14,
1994-01,-6.27,
1994-04,-5.72,
1994-07,-7.06,
1994-10,-7.27,
1995-01,-5.62,
1995-04,-6.12,
1995-07,-4.78,
1995-10,-5.68,
1996-01,-3.53,
1996-04,-6.37,
1996-07,-2.52,
1996-10,-0.84,
1997-01,-6.67,
1997-04,-4.11,
1997-07,-0.87,
1997-10,2.07,
1998-01,-4.85,
1998-04,-2.95,
1998-07,-3.59,
1998-10,-3.85,
1999-01,-9.93,
1999-04,-5.22,
1999-07,-7.94,
1999-10,-6.77,
2000-01,-6.68,
2000-04,-8.02,
2000-07,-12.42,
2000-10,-11.12,
2001-01,-6.83,
2001-04,-7.19,
2001-07,0.38,
2001-10,7.04,
2002-01,6.80,
2002-04,7.13,
2002-07,14.73,
2002-10,14.01,
2003-01,1.54,
2003-04,4.82,
2003-07,12.49,
2003-10,12.69,
2004-01,20.76,
2004-04,29.14,
2004-07,24.38,
2004-10,24.58,
2005-01,26.53,
2005-04,25.29,
2005-07,29.06,
2005-10,24.20,
2006-01,25.96,
2006-04,32.74,
2006-07,34.94,
2006-10,42.52,
2007-01,39.25,
2007-04,45.84,
2007-07,45.05,
2007-10,44.34,
2008-01,42.97,
2008-04,40.65,
2008-07,33.44,
2008-10,30.19,
2009-01,28.15,
2009-04,32.61,
2009-07,38.76,
2009-10,43.33,
2010-01,35.01,
2010-04,32.59,
2010-07,35.24,
2010-10,38.90,
2011-01,40.68,
2011-04,37.75,
2011-07,41.96,
2011-10,42.33,
2012-01,47.00,
2012-04,49.24,
2012-07,53.86,
2012-10,48.30,
2013-01,47.24,
2013-04,48.76,
2013-07,43.61,
2013-10,50.61,
2014-01,51.52,Provisional value
2014-04,50.89,Provisional value
2014-07,58.29,Provisional value
2014-10,57.88,
