"",BBK01.OECB13U,BBK01.OECB13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:16,
2002-01,0.780,
2002-04,0.761,
2002-07,0.749,
2002-10,0.748,
2003-01,0.734,
2003-04,0.712,
2003-07,0.687,
2003-10,0.683,
2004-01,0.667,
2004-04,0.659,
2004-07,0.651,
2004-10,0.637,
2005-01,0.650,
2005-04,0.647,
2005-07,0.632,
2005-10,0.617,
2006-01,0.613,
2006-04,0.609,
2006-07,0.604,
2006-10,0.578,
2007-01,0.566,
2007-04,0.550,
2007-07,0.539,
2007-10,0.533,
2008-01,0.523,
2008-04,0.516,
2008-07,0.507,
2008-10,0.491,
2009-01,0.489,
2009-04,0.861,
2009-07,0.839,
2009-10,0.822,
2010-01,0.803,
2010-04,0.792,
2010-07,0.770,
2010-10,0.740,
2011-01,0.812,
2011-04,0.795,
2011-07,0.771,
2011-10,0.747,
2012-01,0.729,
2012-04,0.762,
2012-07,0.751,
2012-10,0.732,
2013-01,0.718,
2013-04,0.714,
2013-07,0.822,
2013-10,0.822,
2014-01,0.801,
2014-04,0.762,
2014-07,0.772,
