"",BBK01.OECL02J,BBK01.OECL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:26,
2002-01,0.225,
2002-04,0.304,
2002-07,0.294,
2002-10,0.312,
2003-01,0.321,
2003-04,0.323,
2003-07,0.313,
2003-10,0.317,
2004-01,0.298,
2004-04,0.290,
2004-07,0.297,
2004-10,0.313,
2005-01,0.427,
2005-04,0.438,
2005-07,0.437,
2005-10,0.442,
2006-01,0.447,
2006-04,0.440,
2006-07,0.419,
2006-10,0.426,
2007-01,0.426,
2007-04,0.453,
2007-07,0.452,
2007-10,0.472,
2008-01,0.445,
2008-04,0.445,
2008-07,0.459,
2008-10,0.624,
2009-01,0.711,
2009-04,0.696,
2009-07,0.708,
2009-10,0.700,
2010-01,0.711,
2010-04,0.739,
2010-07,0.747,
2010-10,0.769,
2011-01,0.741,
2011-04,0.763,
2011-07,0.758,
2011-10,0.790,
2012-01,0.747,
2012-04,0.778,
2012-07,0.802,
2012-10,0.857,
2013-01,0.862,
2013-04,0.840,
2013-07,0.833,
2013-10,0.880,
2014-01,0.857,
2014-04,0.884,
2014-07,0.868,
