"",BBK01.OEBB03Q,BBK01.OEBB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:15,
2002-01,0.936,
2002-04,0.865,
2002-07,0.840,
2002-10,0.810,
2003-01,0.868,
2003-04,0.883,
2003-07,0.848,
2003-10,0.822,
2004-01,0.814,
2004-04,0.813,
2004-07,0.711,
2004-10,0.726,
2005-01,0.746,
2005-04,0.756,
2005-07,0.837,
2005-10,0.796,
2006-01,0.781,
2006-04,0.805,
2006-07,0.787,
2006-10,0.819,
2007-01,0.884,
2007-04,0.811,
2007-07,0.774,
2007-10,0.820,
2008-01,0.895,
2008-04,0.902,
2008-07,0.918,
2008-10,0.847,
2009-01,0.835,
2009-04,0.669,
2009-07,0.611,
2009-10,0.617,
2010-01,0.567,
2010-04,0.568,
2010-07,0.579,
2010-10,0.589,
2011-01,0.575,
2011-04,0.527,
2011-07,0.551,
2011-10,0.560,
2012-01,0.555,
2012-04,0.543,
2012-07,0.527,
2012-10,0.520,
2013-01,0.550,
2013-04,0.541,
2013-07,0.548,
2013-10,0.563,
2014-01,0.545,
2014-04,0.546,
2014-07,0.532,
