"",BBK01.OEAA48R,BBK01.OEAA48R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:51,
2002-01,0.228,
2002-04,0.227,
2002-07,0.234,
2002-10,0.216,
2003-01,0.219,
2003-04,0.216,
2003-07,0.218,
2003-10,0.211,
2004-01,0.208,
2004-04,0.206,
2004-07,0.196,
2004-10,0.727,
2005-01,0.697,
2005-04,0.713,
2005-07,0.717,
2005-10,0.702,
2006-01,0.680,
2006-04,0.733,
2006-07,0.741,
2006-10,0.790,
2007-01,0.781,
2007-04,0.787,
2007-07,0.777,
2007-10,0.772,
2008-01,1.459,
2008-04,0.801,
2008-07,0.760,
2008-10,0.788,
2009-01,0.774,
2009-04,0.772,
2009-07,0.757,
2009-10,0.768,
2010-01,0.745,
2010-04,0.763,
2010-07,0.749,
2010-10,0.750,
2011-01,0.727,
2011-04,0.750,
2011-07,0.731,
2011-10,0.745,
2012-01,0.720,
2012-04,0.718,
2012-07,0.698,
2012-10,0.707,
2013-01,0.684,
2013-04,0.691,
2013-07,0.656,
2013-10,0.672,
2014-01,0.645,
2014-04,0.613,
2014-07,0.604,
