"",BBK01.OECL09O,BBK01.OECL09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:15,
2002-01,0.055,
2002-04,0.055,
2002-07,0.056,
2002-10,0.056,
2003-01,0.053,
2003-04,0.053,
2003-07,0.049,
2003-10,0.049,
2004-01,0.052,
2004-04,0.051,
2004-07,0.047,
2004-10,0.049,
2005-01,0.064,
2005-04,0.062,
2005-07,0.056,
2005-10,0.055,
2006-01,0.055,
2006-04,0.057,
2006-07,0.057,
2006-10,0.061,
2007-01,0.082,
2007-04,0.092,
2007-07,0.100,
2007-10,0.114,
2008-01,0.125,
2008-04,0.125,
2008-07,0.137,
2008-10,0.212,
2009-01,0.200,
2009-04,0.206,
2009-07,0.208,
2009-10,0.155,
2010-01,0.128,
2010-04,0.121,
2010-07,0.113,
2010-10,0.132,
2011-01,0.154,
2011-04,0.161,
2011-07,0.166,
2011-10,0.161,
2012-01,0.156,
2012-04,0.153,
2012-07,0.143,
2012-10,0.119,
2013-01,0.098,
2013-04,0.082,
2013-07,0.077,
2013-10,0.071,
2014-01,0.069,
2014-04,0.064,
2014-07,0.080,
