"",BBK01.OEXB12O,BBK01.OEXB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:12,
2002-01,-4.849,
2002-04,-5.158,
2002-07,-5.311,
2002-10,-5.321,
2003-01,-5.161,
2003-04,-5.255,
2003-07,-5.157,
2003-10,-5.116,
2004-01,-5.172,
2004-04,-5.242,
2004-07,-5.007,
2004-10,-4.199,
2005-01,0.109,
2005-04,0.115,
2005-07,0.113,
2005-10,0.114,
2006-01,0.113,
2006-04,0.108,
2006-07,0.120,
2006-10,0.122,
2007-01,0.120,
2007-04,0.120,
2007-07,0.110,
2007-10,0.115,
2008-01,0.122,
2008-04,0.123,
2008-07,0.128,
2008-10,0.125,
2009-01,0.938,
2009-04,0.540,
2009-07,0.506,
2009-10,0.468,
2010-01,0.123,
2010-04,0.120,
2010-07,0.295,
2010-10,0.303,
2011-01,0.122,
2011-04,0.114,
2011-07,0.113,
2011-10,0.113,
2012-01,0.112,
2012-04,0.115,
2012-07,0.107,
2012-10,0.109,
2013-01,0.109,
2013-04,0.108,
2013-07,0.110,
2013-10,0.124,
2014-01,0.128,
2014-04,0.136,
2014-07,0.135,
