"",BBK01.OEAF05T,BBK01.OEAF05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:04,
2002-01,1.920,
2002-04,1.957,
2002-07,2.019,
2002-10,2.035,
2003-01,2.005,
2003-04,2.044,
2003-07,2.031,
2003-10,1.996,
2004-01,2.002,
2004-04,2.023,
2004-07,2.030,
2004-10,2.004,
2005-01,1.969,
2005-04,1.968,
2005-07,1.958,
2005-10,1.936,
2006-01,1.878,
2006-04,1.908,
2006-07,1.930,
2006-10,1.917,
2007-01,1.897,
2007-04,1.906,
2007-07,1.944,
2007-10,1.961,
2008-01,1.944,
2008-04,1.986,
2008-07,2.017,
2008-10,2.036,
2009-01,2.041,
2009-04,2.069,
2009-07,2.024,
2009-10,2.340,
2010-01,3.150,
2010-04,2.037,
2010-07,2.073,
2010-10,2.068,
2011-01,2.040,
2011-04,2.041,
2011-07,2.088,
2011-10,2.080,
2012-01,2.090,
2012-04,2.104,
2012-07,2.097,
2012-10,2.068,
2013-01,2.051,
2013-04,2.021,
2013-07,2.061,
2013-10,2.046,
2014-01,2.052,
2014-04,2.087,
2014-07,2.105,
