"",BBK01.OEAH90G,BBK01.OEAH90G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:39,
2002-01,0.327,
2002-04,0.327,
2002-07,0.219,
2002-10,0.224,
2003-01,0.279,
2003-04,0.205,
2003-07,0.217,
2003-10,0.191,
2004-01,0.160,
2004-04,0.163,
2004-07,0.078,
2004-10,0.119,
2005-01,0.088,
2005-04,0.122,
2005-07,0.108,
2005-10,0.199,
2006-01,0.195,
2006-04,0.155,
2006-07,0.179,
2006-10,0.083,
2007-01,0.088,
2007-04,0.270,
2007-07,0.258,
2007-10,0.281,
2008-01,0.269,
2008-04,0.125,
2008-07,0.138,
2008-10,0.155,
2009-01,0.139,
2009-04,0.118,
2009-07,0.115,
2009-10,0.145,
2010-01,0.131,
2010-04,0.115,
2010-07,0.111,
2010-10,0.127,
2011-01,0.246,
2011-04,0.289,
2011-07,0.343,
2011-10,0.339,
2012-01,0.354,
2012-04,0.349,
2012-07,0.339,
2012-10,0.288,
2013-01,0.113,
2013-04,0.054,
2013-07,0.045,
2013-10,0.041,
2014-01,0.038,
2014-04,0.033,
2014-07,0.139,
