"",BBEX3.M.GHC.USD.CA.AB.A01,BBEX3.M.GHC.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Ghana / USD 1 = GHC ... (selling),
unit,GHC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:28,
1991-01,347.73,
1991-02,355.77,
1991-03,370.00,
1991-04,375.00,
1991-05,380.00,
1991-06,380.00,
1991-07,385.00,
1991-08,385.00,
1991-09,388.00,
1991-10,390.00,
1991-11,400.00,
1991-12,400.00,
1992-01,405.00,
1992-02,420.00,
1992-03,445.00,
1992-04,438.00,
1992-05,445.00,
1992-06,440.00,
1992-07,455.00,
1992-08,460.00,
1992-09,490.00,comment
1992-10,495.00,
1992-11,515.00,
1992-12,550.00,
1993-01,585.00,
1993-02,610.00,
1993-03,630.00,
1993-04,625.00,
1993-05,625.00,
1993-06,635.00,
1993-07,660.00,
1993-08,700.00,
1993-09,720.00,
1993-10,730.00,
1993-11,795.00,
1993-12,825.00,
1994-01,935.00,
1994-02,945.00,
1994-03,940.00,
1994-04,940.00,
1994-05,940.00,
1994-06,945.00,
1994-07,965.00,
1994-08,970.00,
1994-09,990.00,
1994-10,990.00,
1994-11,1070.00,
1994-12,1065.00,
1995-01,1075.00,
1995-02,1080.00,
1995-03,1110.00,
1995-04,1145.00,
1995-05,1170.00,
1995-06,1190.00,
1995-07,1210.00,
1995-08,1220.00,
1995-09,1305.00,
1995-10,1370.00,
1995-11,1425.00,
1995-12,1455.00,
1996-01,1500.00,
1996-02,1550.00,
1996-03,1590.00,
1996-04,1620.00,
1996-05,1630.00,
1996-06,1650.00,
1996-07,1690.00,
1996-08,1705.00,
1996-09,1715.00,
1996-10,1730.00,
1996-11,1745.00,
1996-12,1750.00,
1997-01,1770.00,
1997-02,1845.00,
1997-03,1910.00,
1997-04,1985.00,
1997-05,2040.00,
1997-06,2130.00,
1997-07,2175.00,
1997-08,2200.00,
1997-09,2240.00,
1997-10,2250.00,
1997-11,2260.00,
1997-12,2270.00,
1998-01,2300.00,
1998-02,2310.00,
1998-03,2320.00,
1998-04,2320.00,
1998-05,2320.00,
1998-06,2340.00,
1998-07,2340.00,
1998-08,2340.00,
1998-09,2340.00,
1998-10,2340.00,
1998-11,2355.00,
1998-12,2370.00,
1999-01,2380.00,
1999-02,2390.00,
1999-03,2430.00,
1999-04,2460.00,
1999-05,2520.00,
1999-06,2560.00,
1999-07,2580.00,
1999-08,2620.00,
1999-09,2700.00,
1999-10,2950.00,
1999-11,3450.00,
1999-12,3550.00,
2000-01,3640.00,
2000-02,3810.00,
2000-03,4120.00,
2000-04,4470.00,
2000-05,4820.00,
2000-06,5640.00,
2000-07,6120.00,
2000-08,6500.00,
2000-09,6700.00,
2000-10,6800.00,
2000-11,6900.00,
2000-12,7000.00,
2001-01,7000.00,
2001-02,7150.00,
2001-03,7200.00,
2001-04,7200.00,
2001-05,7200.00,
2001-06,7300.00,
2001-07,7300.00,
2001-08,7300.00,
2001-09,7200.00,
2001-10,7200.00,
2001-11,7300.00,
2001-12,7400.00,
2002-01,7400.00,
2002-02,7600.00,
2002-03,7800.00,
2002-04,7850.00,
2002-05,7950.00,
2002-06,8100.00,
2002-07,8200.00,
2002-08,8250.00,
2002-09,8250.00,
2002-10,8320.00,
2002-11,8320.00,comment
2002-12,8450.00,
2003-01,8550.00,
2003-02,8650.00,
2003-03,8680.00,
2003-04,8731.27,
2003-05,8750.00,
2003-06,8800.00,
2003-07,8800.00,
2003-08,8792.00,
2003-09,8798.00,
2003-10,8786.18,
2003-11,8845.73,
2003-12,8877.00,
2004-01,8894.45,
2004-02,8962.64,
2004-03,9057.91,
2004-04,9081.00,
2004-05,9089.82,
2004-06,9097.00,
2004-07,9104.55,
2004-08,9108.55,
2004-09,9108.27,
2004-10,9112.45,
2004-11,9111.64,
2004-12,9112.45,
2005-01,9111.55,
2005-02,9134.36,
2005-03,9118.64,
2005-04,9119.55,
2005-05,9122.27,
2005-06,9123.18,
2005-07,9123.64,
2005-08,9123.64,
2005-09,9119.09,
2005-10,9122.27,
2005-11,9123.18,
2005-12,9140.91,
2006-01,9145.00,
2006-02,9152.73,
2006-03,9160.91,
2006-04,9163.64,
2006-05,9177.27,
2006-06,9207.91,
2006-07,9222.27,
2006-08,9246.36,
2006-09,9250.00,
2006-10,9256.82,
2006-11,9248.64,
2006-12,9261.82,
2007-01,9272.27,
2007-02,9284.55,
2007-03,9305.45,
2007-04,9307.27,
2007-05,9314.91,
2007-06,9315.82,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Ghana Commercial Bank and Bank of Ghana, Accra.",
"",Comment on 1992-09: Exchange rate as of 25 September 1992.,
"",Comment on 2002-11: Exchange rate as of 26 November 2002.,
