"",BBSF2.M.1.S.I0122.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:45,
2009-09,1571,
2009-10,2590,
2009-11,2213,
2009-12,2729,
2010-01,5574,
2010-02,1954,
2010-03,1633,
2010-04,1123,
2010-05,755,
2010-06,1181,
2010-07,2415,
2010-08,1312,
2010-09,1134,
2010-10,4127,
2010-11,1442,
2010-12,1683,
2011-01,850,
2011-02,827,
2011-03,520,
2011-04,965,
2011-05,624,
2011-06,817,
2011-07,610,
2011-08,406,
2011-09,603,
2011-10,461,
2011-11,1339,
2011-12,3089,
2012-01,410,
2012-02,966,
2012-03,1663,
2012-04,828,
2012-05,939,
2012-06,1306,
2012-07,930,
2012-08,745,
2012-09,894,
2012-10,1965,
2012-11,1439,
2012-12,3011,
2013-01,2480,
2013-02,3728,
2013-03,3012,
2013-04,1529,
2013-05,1126,
2013-06,1441,
2013-07,1094,
2013-08,726,
2013-09,1243,
2013-10,669,
2013-11,1242,
2013-12,2279,
2014-01,1270,
2014-02,993,
2014-03,1408,
2014-04,1274,
2014-05,1445,
2014-06,848,
2014-07,1663,
2014-08,819,
2014-09,1080,
2014-10,1806,
2014-11,2194,
