"",BBK01.OEAF33O,BBK01.OEAF33O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:05,
2002-01,37.057,
2002-04,37.488,
2002-07,38.088,
2002-10,38.656,
2003-01,38.878,
2003-04,39.751,
2003-07,36.660,
2003-10,37.857,
2004-01,38.221,
2004-04,39.046,
2004-07,39.487,
2004-10,39.701,
2005-01,40.539,
2005-04,40.847,
2005-07,40.930,
2005-10,41.455,
2006-01,41.855,
2006-04,42.163,
2006-07,42.578,
2006-10,42.748,
2007-01,42.850,
2007-04,43.089,
2007-07,43.210,
2007-10,42.834,
2008-01,42.682,
2008-04,42.871,
2008-07,42.980,
2008-10,42.777,
2009-01,42.586,
2009-04,43.202,
2009-07,43.396,
2009-10,42.757,
2010-01,41.886,
2010-04,40.857,
2010-07,42.328,
2010-10,42.792,
2011-01,42.618,
2011-04,42.607,
2011-07,42.737,
2011-10,42.807,
2012-01,43.088,
2012-04,43.169,
2012-07,43.510,
2012-10,43.861,
2013-01,43.878,
2013-04,44.486,
2013-07,44.900,
2013-10,45.088,
2014-01,45.498,
2014-04,45.694,
2014-07,46.086,
