"",BBK01.OEAM03G,BBK01.OEAM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:22,
2002-01,7.513,
2002-04,8.812,
2002-07,8.478,
2002-10,8.366,
2003-01,7.632,
2003-04,7.644,
2003-07,6.982,
2003-10,7.393,
2004-01,6.470,
2004-04,6.998,
2004-07,6.904,
2004-10,6.408,
2005-01,6.170,
2005-04,6.118,
2005-07,5.721,
2005-10,5.817,
2006-01,6.430,
2006-04,6.692,
2006-07,7.048,
2006-10,8.000,
2007-01,7.752,
2007-04,10.168,
2007-07,11.716,
2007-10,11.599,
2008-01,11.642,
2008-04,15.133,
2008-07,14.519,
2008-10,14.516,
2009-01,12.374,
2009-04,8.294,
2009-07,7.551,
2009-10,7.866,
2010-01,6.171,
2010-04,7.510,
2010-07,9.550,
2010-10,6.714,
2011-01,7.158,
2011-04,9.576,
2011-07,7.931,
2011-10,7.898,
2012-01,8.517,
2012-04,21.717,
2012-07,23.239,
2012-10,24.531,
2013-01,21.971,
2013-04,19.941,
2013-07,22.324,
2013-10,25.785,
2014-01,24.647,
2014-04,26.421,
2014-07,28.370,
