"",BBK01.OEXB03I,BBK01.OEXB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:08,
2002-01,2.559,
2002-04,2.622,
2002-07,2.676,
2002-10,2.471,
2003-01,2.334,
2003-04,2.754,
2003-07,1.847,
2003-10,1.784,
2004-01,1.715,
2004-04,1.675,
2004-07,1.643,
2004-10,1.959,
2005-01,2.224,
2005-04,2.264,
2005-07,2.394,
2005-10,2.091,
2006-01,2.087,
2006-04,2.130,
2006-07,1.886,
2006-10,2.084,
2007-01,2.034,
2007-04,2.064,
2007-07,2.103,
2007-10,1.957,
2008-01,2.023,
2008-04,2.289,
2008-07,2.395,
2008-10,2.549,
2009-01,2.570,
2009-04,2.569,
2009-07,2.553,
2009-10,2.654,
2010-01,2.684,
2010-04,2.706,
2010-07,2.656,
2010-10,2.667,
2011-01,2.634,
2011-04,2.639,
2011-07,2.712,
2011-10,3.304,
2012-01,3.323,
2012-04,2.318,
2012-07,2.392,
2012-10,2.195,
2013-01,2.185,
2013-04,2.035,
2013-07,2.036,
2013-10,2.039,
2014-01,1.978,
2014-04,1.781,
2014-07,1.757,
