"",BBK01.OEBL04V,BBK01.OEBL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:25,
2002-01,0.461,
2002-04,0.438,
2002-07,0.422,
2002-10,0.408,
2003-01,0.370,
2003-04,0.330,
2003-07,0.294,
2003-10,0.275,
2004-01,0.267,
2004-04,0.238,
2004-07,0.216,
2004-10,0.162,
2005-01,0.268,
2005-04,0.261,
2005-07,0.241,
2005-10,0.242,
2006-01,0.267,
2006-04,0.273,
2006-07,0.319,
2006-10,0.416,
2007-01,0.452,
2007-04,0.466,
2007-07,0.526,
2007-10,0.653,
2008-01,0.778,
2008-04,0.854,
2008-07,1.049,
2008-10,1.136,
2009-01,1.002,
2009-04,0.905,
2009-07,0.675,
2009-10,0.521,
2010-01,0.450,
2010-04,0.435,
2010-07,0.343,
2010-10,0.282,
2011-01,0.286,
2011-04,0.291,
2011-07,0.267,
2011-10,0.386,
2012-01,0.411,
2012-04,0.413,
2012-07,0.372,
2012-10,0.279,
2013-01,0.227,
2013-04,0.220,
2013-07,0.190,
2013-10,0.181,
2014-01,0.189,
2014-04,0.190,
2014-07,0.183,
