"",BBK01.OELK02T,BBK01.OELK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:21,
2002-01,0.175,
2002-04,0.169,
2002-07,0.186,
2002-10,0.191,
2003-01,0.168,
2003-04,0.169,
2003-07,0.174,
2003-10,0.196,
2004-01,0.176,
2004-04,0.172,
2004-07,0.189,
2004-10,0.204,
2005-01,0.184,
2005-04,0.179,
2005-07,0.194,
2005-10,0.215,
2006-01,0.183,
2006-04,0.183,
2006-07,0.199,
2006-10,0.231,
2007-01,0.211,
2007-04,0.216,
2007-07,0.230,
2007-10,0.252,
2008-01,0.228,
2008-04,0.222,
2008-07,0.243,
2008-10,0.272,
2009-01,0.230,
2009-04,0.236,
2009-07,0.257,
2009-10,0.283,
2010-01,0.259,
2010-04,0.261,
2010-07,0.280,
2010-10,0.308,
2011-01,0.278,
2011-04,0.273,
2011-07,0.307,
2011-10,0.347,
2012-01,0.324,
2012-04,0.330,
2012-07,0.389,
2012-10,0.406,
2013-01,0.369,
2013-04,0.363,
2013-07,0.415,
2013-10,0.455,
2014-01,0.422,
2014-04,0.401,
2014-07,0.437,
