"",BBK01.OECO02P,BBK01.OECO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:46,
2002-01,0.042,
2002-04,0.032,
2002-07,0.027,
2002-10,0.038,
2003-01,0.041,
2003-04,0.030,
2003-07,0.046,
2003-10,0.031,
2004-01,0.041,
2004-04,0.034,
2004-07,0.057,
2004-10,0.064,
2005-01,0.087,
2005-04,0.072,
2005-07,0.051,
2005-10,0.061,
2006-01,0.082,
2006-04,0.070,
2006-07,0.066,
2006-10,0.072,
2007-01,0.107,
2007-04,0.062,
2007-07,0.061,
2007-10,0.073,
2008-01,0.067,
2008-04,0.087,
2008-07,0.041,
2008-10,0.056,
2009-01,0.092,
2009-04,0.095,
2009-07,0.101,
2009-10,0.079,
2010-01,0.100,
2010-04,0.061,
2010-07,0.042,
2010-10,0.062,
2011-01,0.069,
2011-04,0.059,
2011-07,0.082,
2011-10,0.059,
2012-01,0.129,
2012-04,0.046,
2012-07,0.055,
2012-10,0.057,
2013-01,0.083,
2013-04,0.042,
2013-07,0.037,
2013-10,0.034,
2014-01,0.024,
2014-04,0.023,
2014-07,0.050,
