"",BBK01.OEAF13H,BBK01.OEAF13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:58,
2002-01,0.713,
2002-04,0.697,
2002-07,0.712,
2002-10,0.709,
2003-01,0.707,
2003-04,0.648,
2003-07,0.664,
2003-10,0.643,
2004-01,0.594,
2004-04,0.602,
2004-07,0.603,
2004-10,0.589,
2005-01,0.564,
2005-04,0.558,
2005-07,0.540,
2005-10,0.528,
2006-01,0.504,
2006-04,0.503,
2006-07,0.569,
2006-10,0.519,
2007-01,0.530,
2007-04,0.510,
2007-07,0.452,
2007-10,0.439,
2008-01,0.436,
2008-04,0.432,
2008-07,0.438,
2008-10,0.434,
2009-01,0.456,
2009-04,0.460,
2009-07,0.483,
2009-10,0.464,
2010-01,0.456,
2010-04,0.394,
2010-07,0.465,
2010-10,0.609,
2011-01,0.448,
2011-04,0.437,
2011-07,0.445,
2011-10,0.424,
2012-01,0.410,
2012-04,0.424,
2012-07,0.454,
2012-10,0.476,
2013-01,0.478,
2013-04,0.501,
2013-07,0.503,
2013-10,0.534,
2014-01,0.538,
2014-04,0.559,
2014-07,0.585,
