"",BBK01.OEAD33G,BBK01.OEAD33G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:39,
2002-01,0.655,
2002-04,0.686,
2002-07,0.674,
2002-10,0.672,
2003-01,0.648,
2003-04,0.638,
2003-07,0.622,
2003-10,0.619,
2004-01,0.613,
2004-04,0.597,
2004-07,0.603,
2004-10,0.613,
2005-01,0.623,
2005-04,0.639,
2005-07,0.620,
2005-10,0.607,
2006-01,0.610,
2006-04,0.642,
2006-07,0.689,
2006-10,0.710,
2007-01,0.708,
2007-04,0.750,
2007-07,0.756,
2007-10,0.777,
2008-01,0.764,
2008-04,0.835,
2008-07,0.859,
2008-10,0.871,
2009-01,0.792,
2009-04,0.810,
2009-07,0.780,
2009-10,0.761,
2010-01,0.773,
2010-04,0.790,
2010-07,0.798,
2010-10,0.780,
2011-01,0.772,
2011-04,0.786,
2011-07,0.792,
2011-10,0.792,
2012-01,0.787,
2012-04,0.793,
2012-07,0.810,
2012-10,0.812,
2013-01,0.796,
2013-04,0.808,
2013-07,0.828,
2013-10,0.833,
2014-01,0.829,
2014-04,0.834,
2014-07,0.833,
