"",BBK01.OEHB08H,BBK01.OEHB08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:12,
2002-01,76.228,
2002-04,76.494,
2002-07,77.133,
2002-10,77.734,
2003-01,77.752,
2003-04,78.122,
2003-07,78.961,
2003-10,79.396,
2004-01,79.103,
2004-04,79.231,
2004-07,79.587,
2004-10,79.762,
2005-01,79.415,
2005-04,79.640,
2005-07,80.236,
2005-10,80.853,
2006-01,80.665,
2006-04,80.892,
2006-07,81.141,
2006-10,81.251,
2007-01,80.688,
2007-04,80.664,
2007-07,80.891,
2007-10,81.138,
2008-01,80.885,
2008-04,81.304,
2008-07,82.004,
2008-10,82.286,
2009-01,81.942,
2009-04,82.092,
2009-07,82.822,
2009-10,83.887,
2010-01,84.772,
2010-04,85.938,
2010-07,87.084,
2010-10,88.285,
2011-01,88.526,
2011-04,89.110,
2011-07,90.090,
2011-10,90.894,
2012-01,91.368,
2012-04,92.313,
2012-07,93.659,
2012-10,94.929,
2013-01,95.462,
2013-04,96.266,
2013-07,97.283,
2013-10,97.911,
2014-01,98.076,
2014-04,98.800,
2014-07,99.877,
