"",BBK01.TYI323,BBK01.TYI323_FLAGS
"",Deposits of central governments / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:57,
1980-01,0,
1980-02,-17,
1980-03,381,
1980-04,963,
1980-05,-419,
1980-06,1283,
1980-07,-1482,
1980-08,-252,
1980-09,287,
1980-10,155,
1980-11,72,
1980-12,616,
1981-01,-745,
1981-02,110,
1981-03,1418,
1981-04,-774,
1981-05,-54,
1981-06,568,
1981-07,-89,
1981-08,133,
1981-09,2416,
1981-10,-1253,
1981-11,-499,
1981-12,558,
1982-01,-638,
1982-02,188,
1982-03,439,
1982-04,3560,
1982-05,-2669,
1982-06,-258,
1982-07,-226,
1982-08,448,
1982-09,1316,
1982-10,837,
1982-11,-2222,
1982-12,959,
1983-01,-1047,
1983-02,236,
1983-03,415,
1983-04,341,
1983-05,-341,
1983-06,518,
1983-07,-313,
1983-08,108,
1983-09,794,
1983-10,1158,
1983-11,-1417,
1983-12,1307,
1984-01,-1254,
1984-02,288,
1984-03,639,
1984-04,-18,
1984-05,-369,
1984-06,1221,
1984-07,-822,
1984-08,347,
1984-09,1351,
1984-10,-622,
1984-11,-135,
1984-12,735,
1985-01,-927,
1985-02,243,
1985-03,287,
1985-04,-235,
1985-05,463,
1985-06,1617,
1985-07,-529,
1985-08,129,
1985-09,798,
1985-10,-1514,
1985-11,-48,
1985-12,1315,
1986-01,-1393,
1986-02,226,
1986-03,183,
1986-04,18,
1986-05,-54,
1986-06,1945,
1986-07,-1611,
1986-08,-376,
1986-09,300,
1986-10,-196,
1986-11,221,
1986-12,997,
1987-01,-1100,
1987-02,370,
1987-03,2968,
1987-04,-2387,
1987-05,142,
1987-06,523,
1987-07,-1213,
1987-08,826,
1987-09,1217,
1987-10,-1200,
1987-11,-236,
1987-12,2766,
1988-01,-1300,
1988-02,278,
1988-03,2174,
1988-04,-2628,
1988-05,-498,
1988-06,1186,
1988-07,-1444,
1988-08,85,
1988-09,3343,
1988-10,-3061,
1988-11,382,
1988-12,2107,
1989-01,-1921,
1989-02,154,
1989-03,126,
1989-04,131,
1989-05,24,
1989-06,2441,
1989-07,-923,
1989-08,-1434,
1989-09,1479,
1989-10,-1233,
1989-11,197,
1989-12,3427,
1990-01,-2514,
1990-02,-605,
1990-03,143,
1990-04,2730,
1990-05,2569,
1990-06,916,
1990-07,-5342,
1990-08,4425,
1990-09,1877,
1990-10,3676,
1990-11,-5887,
1990-12,3946,
1991-01,325,
1991-02,-2308,
1991-03,-4840,
1991-04,-2273,
1991-05,3683,
1991-06,1485,
1991-07,-1834,
1991-08,-1965,
1991-09,446,
1991-10,-609,
1991-11,2880,
1991-12,5726,
1992-01,-2478,
1992-02,-2003,
1992-03,771,
1992-04,4253,
1992-05,-2361,
1992-06,2411,
1992-07,2436,
1992-08,-1490,
1992-09,3036,
1992-10,-246,
1992-11,-6911,
1992-12,1300,
1993-01,1729,
1993-02,-173,
1993-03,-1657,
1993-04,2969,
1993-05,2045,
1993-06,4904,
1993-07,-3346,
1993-08,-400,
1993-09,3337,
1993-10,-1568,
1993-11,-6028,
1993-12,6457,
1994-01,-2931,
1994-02,-1383,
1994-03,1059,
1994-04,155,
1994-05,775,
1994-06,-1044,
1994-07,-338,
1994-08,383,
1994-09,2188,
1994-10,-1933,
1994-11,-735,
1994-12,928,
1995-01,-2111,
1995-02,12,
1995-03,2522,
1995-04,117,
1995-05,404,
1995-06,577,
1995-07,-2787,
1995-08,1189,
1995-09,952,
1995-10,-1451,
1995-11,478,
1995-12,1525,
1996-01,-816,
1996-02,913,
1996-03,247,
1996-04,-1412,
1996-05,-111,
1996-06,476,
1996-07,-321,
1996-08,84,
1996-09,31,
1996-10,1071,
1996-11,-396,
1996-12,2097,
1997-01,-2627,
1997-02,-361,
1997-03,515,
1997-04,-541,
1997-05,-374,
1997-06,423,
1997-07,-1138,
1997-08,26,
1997-09,-162,
1997-10,-213,
1997-11,540,
1997-12,700,
1998-01,-474,
1998-02,189,
1998-03,-148,
1998-04,-765,
1998-05,291,
1998-06,781,
1998-07,-169,
1998-08,272,
1998-09,82,
1998-10,-395,
1998-11,214,
1998-12,1599,
1999-01,888,
1999-02,865,
1999-03,-990,
1999-04,50,
1999-05,13,
1999-06,1137,
1999-07,-623,
1999-08,502,
1999-09,-359,
1999-10,685,
1999-11,-402,
1999-12,146,
2000-01,-1245,
2000-02,836,
2000-03,-571,
2000-04,357,
2000-05,-490,
2000-06,6316,
2000-07,345,
2000-08,-553,
2000-09,19764,
2000-10,2419,
2000-11,-10739,
2000-12,6677,
2001-01,-12185,
2001-02,538,
2001-03,-324,
2001-04,475,
2001-05,908,
2001-06,-109,
2001-07,910,
2001-08,84,
2001-09,-2934,
2001-10,-1595,
2001-11,1145,
2001-12,-7425,
2002-01,968,
2002-02,-690,
2002-03,-40,
2002-04,-1878,
2002-05,699,
2002-06,461,
2002-07,-1073,
2002-08,1327,
2002-09,1023,
2002-10,-1631,
2002-11,-643,
2002-12,40,
2003-01,-838,
2003-02,1418,
2003-03,-1681,
2003-04,-1115,
2003-05,2199,
2003-06,402,
2003-07,-2765,
2003-08,626,
2003-09,321,
2003-10,-749,
2003-11,145,
2003-12,249,
2004-01,33,
2004-02,1310,
2004-03,606,
2004-04,-618,
2004-05,1011,
2004-06,2443,
2004-07,-1003,
2004-08,2375,
2004-09,-3947,
2004-10,-2569,
2004-11,-1871,
2004-12,114,
2005-01,1354,
2005-02,-828,
2005-03,-3316,
2005-04,827,
2005-05,-1322,
2005-06,760,
2005-07,448,
2005-08,-416,
2005-09,493,
2005-10,-1157,
2005-11,-278,
2005-12,927,
2006-01,2020,
2006-02,-6163,
2006-03,1831,
2006-04,-165,
2006-05,1692,
2006-06,1863,
2006-07,1024,
2006-08,3038,
2006-09,2333,
2006-10,-2762,
2006-11,2056,
2006-12,-2859,
2007-01,-1942,
2007-02,166,
2007-03,-256,
2007-04,253,
2007-05,5237,
2007-06,861,
2007-07,-7308,
2007-08,-324,
2007-09,-1304,
2007-10,-416,
2007-11,5735,
2007-12,-6519,
2008-01,-145,
2008-02,-1268,
2008-03,2333,
2008-04,-3311,
2008-05,2163,
2008-06,-273,
2008-07,-2172,
2008-08,70,
2008-09,664,
2008-10,-1399,
2008-11,152,
2008-12,-20,
2009-01,574,
2009-02,8110,
2009-03,3204,
2009-04,14423,
2009-05,12017,
2009-06,-9186,
2009-07,-5837,
2009-08,1668,
2009-09,-2332,
2009-10,1443,
2009-11,-7761,
2009-12,-8889,
2010-01,-6123,
2010-02,-3819,
2010-03,-1569,
2010-04,186,
2010-05,1615,
2010-06,-1028,
2010-07,1529,
2010-08,7480,
2010-09,-8517,
2010-10,20810,
2010-11,3253,
2010-12,-6655,
2011-01,5354,
2011-02,1912,
2011-03,-8176,
2011-04,-4508,
2011-05,3421,
2011-06,3026,
2011-07,-1170,
2011-08,-102,
2011-09,3436,
2011-10,-2724,
2011-11,-241,
2011-12,227,
2012-01,3977,
2012-02,3476,
2012-03,-10658,
2012-04,1895,
2012-05,-20,
2012-06,1712,
2012-07,-5192,
2012-08,-1053,
2012-09,1046,
2012-10,-2107,
2012-11,1335,
2012-12,-2636,
2013-01,878,
2013-02,-2938,
2013-03,-1748,
2013-04,-2674,
2013-05,5027,
2013-06,1145,
2013-07,-1827,
2013-08,-8930,
2013-09,1069,
2013-10,-3264,
2013-11,486,
2013-12,2562,
2014-01,-3130,
2014-02,3698,
2014-03,-1596,
2014-04,-2256,
2014-05,1913,
2014-06,-873,
2014-07,1332,
2014-08,-4833,
2014-09,1461,
2014-10,-1252,
2014-11,-257,
2014-12,2294,
2015-01,5591,
