"",BBK01.OECK03U,BBK01.OECK03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:55,
2002-01,0.091,
2002-04,0.090,
2002-07,0.090,
2002-10,0.091,
2003-01,0.094,
2003-04,0.095,
2003-07,0.094,
2003-10,0.089,
2004-01,0.085,
2004-04,0.084,
2004-07,0.084,
2004-10,0.082,
2005-01,0.087,
2005-04,0.084,
2005-07,0.074,
2005-10,0.079,
2006-01,0.086,
2006-04,0.085,
2006-07,0.083,
2006-10,0.078,
2007-01,0.086,
2007-04,0.094,
2007-07,0.108,
2007-10,0.110,
2008-01,0.122,
2008-04,0.139,
2008-07,0.151,
2008-10,0.153,
2009-01,0.128,
2009-04,0.108,
2009-07,0.089,
2009-10,0.068,
2010-01,0.060,
2010-04,0.051,
2010-07,0.044,
2010-10,0.042,
2011-01,0.044,
2011-04,0.045,
2011-07,0.034,
2011-10,0.044,
2012-01,0.049,
2012-04,0.042,
2012-07,0.034,
2012-10,0.016,
2013-01,0.010,
2013-04,0.008,
2013-07,0.007,
2013-10,0.007,
2014-01,0.006,
2014-04,0.006,
2014-07,0.006,
