"",BBK01.OEAF33R,BBK01.OEAF33R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:46,
2002-01,4.784,
2002-04,4.799,
2002-07,4.833,
2002-10,4.912,
2003-01,4.881,
2003-04,4.914,
2003-07,5.010,
2003-10,5.028,
2004-01,4.972,
2004-04,4.971,
2004-07,4.981,
2004-10,4.962,
2005-01,5.689,
2005-04,5.720,
2005-07,5.728,
2005-10,5.714,
2006-01,5.729,
2006-04,5.814,
2006-07,5.875,
2006-10,5.853,
2007-01,5.855,
2007-04,5.937,
2007-07,5.974,
2007-10,6.006,
2008-01,5.890,
2008-04,5.800,
2008-07,5.845,
2008-10,5.836,
2009-01,5.749,
2009-04,6.082,
2009-07,6.141,
2009-10,6.014,
2010-01,6.176,
2010-04,6.214,
2010-07,6.239,
2010-10,6.278,
2011-01,6.274,
2011-04,6.277,
2011-07,6.296,
2011-10,6.334,
2012-01,6.347,
2012-04,6.463,
2012-07,6.536,
2012-10,6.611,
2013-01,6.613,
2013-04,6.651,
2013-07,6.723,
2013-10,6.790,
2014-01,6.812,
2014-04,6.863,
2014-07,6.937,
