"",BBK01.ST0334,BBK01.ST0334_FLAGS
"",Money market rates / EURIBOR nine-month funds / Daily quotations,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:15:40,
1998-12-31,3.220,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,3.214,
1999-01-05,3.193,
1999-01-06,3.183,
1999-01-07,3.167,
1999-01-08,3.149,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,3.139,
1999-01-12,3.135,
1999-01-13,3.121,
1999-01-14,3.095,
1999-01-15,3.058,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,3.033,
1999-01-19,2.994,
1999-01-20,2.993,
1999-01-21,2.998,
1999-01-22,2.997,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,2.992,
1999-01-26,2.993,
1999-01-27,2.995,
1999-01-28,2.991,
1999-01-29,2.989,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,2.994,
1999-02-02,3.006,
1999-02-03,3.014,
1999-02-04,3.022,
1999-02-05,3.025,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,3.033,
1999-02-09,3.038,
1999-02-10,3.036,
1999-02-11,3.037,
1999-02-12,3.034,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,3.035,
1999-02-16,3.032,
1999-02-17,3.029,
1999-02-18,3.025,
1999-02-19,3.024,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,3.019,
1999-02-23,3.017,
1999-02-24,3.017,
1999-02-25,3.026,
1999-02-26,3.048,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,3.055,
1999-03-02,3.105,
1999-03-03,3.104,
1999-03-04,3.106,
1999-03-05,3.096,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,3.067,
1999-03-09,3.058,
1999-03-10,3.051,
1999-03-11,3.046,
1999-03-12,3.019,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,3.011,
1999-03-16,3.009,
1999-03-17,3.009,
1999-03-18,3.001,
1999-03-19,2.993,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,2.991,
1999-03-23,2.991,
1999-03-24,2.987,
1999-03-25,2.968,
1999-03-26,2.962,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,2.959,
1999-03-30,2.968,
1999-03-31,2.961,
1999-04-01,2.937,
1999-04-02,2.931,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,2.930,
1999-04-06,2.906,
1999-04-07,2.900,
1999-04-08,2.898,
1999-04-09,2.713,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,2.709,
1999-04-13,2.704,
1999-04-14,2.700,
1999-04-15,2.697,
1999-04-16,2.698,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,2.695,
1999-04-20,2.689,
1999-04-21,2.680,
1999-04-22,2.673,
1999-04-23,2.671,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,2.666,
1999-04-27,2.666,
1999-04-28,2.665,
1999-04-29,2.664,
1999-04-30,2.663,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,2.665,
1999-05-04,2.664,
1999-05-05,2.666,
1999-05-06,2.665,
1999-05-07,2.672,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,2.671,
1999-05-11,2.669,
1999-05-12,2.668,
1999-05-13,2.663,
1999-05-14,2.652,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,2.659,
1999-05-18,2.658,
1999-05-19,2.666,
1999-05-20,2.667,
1999-05-21,2.665,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,2.662,
1999-05-25,2.659,
1999-05-26,2.656,
1999-05-27,2.657,
1999-05-28,2.661,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,2.663,
1999-06-01,2.692,
1999-06-02,2.754,
1999-06-03,2.741,
1999-06-04,2.747,
1999-06-05,.,No value available
