"",BBK01.OEXI03M,BBK01.OEXI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:42,
2002-01,5.623,
2002-04,5.484,
2002-07,5.788,
2002-10,5.796,
2003-01,6.287,
2003-04,6.002,
2003-07,5.535,
2003-10,5.137,
2004-01,5.176,
2004-04,5.481,
2004-07,5.669,
2004-10,5.644,
2005-01,5.481,
2005-04,5.483,
2005-07,4.849,
2005-10,4.388,
2006-01,4.512,
2006-04,4.597,
2006-07,4.565,
2006-10,4.642,
2007-01,4.874,
2007-04,5.081,
2007-07,5.652,
2007-10,6.108,
2008-01,7.086,
2008-04,7.683,
2008-07,8.004,
2008-10,11.944,
2009-01,11.029,
2009-04,11.041,
2009-07,9.649,
2009-10,8.512,
2010-01,7.337,
2010-04,6.580,
2010-07,5.845,
2010-10,8.017,
2011-01,7.253,
2011-04,7.070,
2011-07,8.011,
2011-10,9.020,
2012-01,8.855,
2012-04,10.371,
2012-07,10.088,
2012-10,10.989,
2013-01,10.332,
2013-04,11.613,
2013-07,10.729,
2013-10,10.191,
2014-01,9.748,
2014-04,13.266,
2014-07,12.186,
