"",BBFB1.Q.N.DE.SE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:38,
1991-01,146.398,
1991-04,168.729,
1991-07,131.481,
1991-10,123.871,
1992-01,163.141,
1992-04,191.943,
1992-07,195.167,
1992-10,187.349,
1993-01,138.271,
1993-04,138.301,
1993-07,78.489,
1993-10,129.790,
1994-01,155.057,
1994-04,209.230,
1994-07,128.030,
1994-10,132.392,
1995-01,-88.598,
1995-04,-40.212,
1995-07,-99.802,
1995-10,-140.488,
1996-01,156.595,
1996-04,172.698,
1996-07,161.613,
1996-10,157.742,
1997-01,93.791,
1997-04,145.528,
1997-07,92.092,
1997-10,630.452,
1998-01,83.102,
1998-04,120.912,
1998-07,120.759,
1998-10,141.051,
1999-01,267.218,
1999-04,304.469,
1999-07,264.482,
1999-10,292.371,
2000-01,242.212,
2000-04,224.146,
2000-07,198.405,
2000-10,794.961,
2001-01,199.322,
2001-04,240.114,
2001-07,198.012,
2001-10,177.110,
2002-01,253.221,
2002-04,306.917,
2002-07,281.306,
2002-10,303.661,
2003-01,154.926,
2003-04,166.557,
2003-07,168.245,
2003-10,175.989,
2004-01,406.984,
2004-04,442.401,
2004-07,404.161,
2004-10,421.131,
2005-01,260.842,
2005-04,299.003,
2005-07,262.454,
2005-10,280.337,
2006-01,371.343,
2006-04,615.480,
2006-07,426.453,
2006-10,471.252,
2007-01,452.910,
2007-04,917.418,
2007-07,362.992,
2007-10,293.449,
2008-01,-154.061,
2008-04,925.492,
2008-07,497.486,
2008-10,205.797,
2009-01,173.369,
2009-04,421.903,
2009-07,148.718,
2009-10,226.247,
2010-01,541.296,
2010-04,832.193,
2010-07,703.551,
2010-10,712.905,
2011-01,202.424,
2011-04,360.494,
2011-07,152.706,
2011-10,129.748,
2012-01,191.111,
2012-04,444.018,
2012-07,273.011,
2012-10,284.685,
2013-01,444.690,
2013-04,751.851,
2013-07,394.013,
2013-10,375.681,
2014-01,429.843,Provisional value
2014-04,741.091,Provisional value
2014-07,480.705,Provisional value
