"",BBFB1.Q.N.DE.ES.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:47,
1999-01,105.452,
1999-04,115.798,
1999-07,139.854,
1999-10,120.274,
2000-01,112.459,
2000-04,129.165,
2000-07,149.932,
2000-10,131.950,
2001-01,124.664,
2001-04,147.308,
2001-07,167.908,
2001-10,140.501,
2002-01,120.493,
2002-04,146.905,
2002-07,173.434,
2002-10,144.605,
2003-01,131.386,
2003-04,153.007,
2003-07,188.144,
2003-10,165.558,
2004-01,154.174,
2004-04,169.143,
2004-07,203.357,
2004-10,191.573,
2005-01,171.550,
2005-04,203.933,
2005-07,242.041,
2005-10,199.973,
2006-01,194.949,
2006-04,251.466,
2006-07,262.808,
2006-10,234.824,
2007-01,208.453,
2007-04,242.290,
2007-07,305.627,
2007-10,242.689,
2008-01,226.745,
2008-04,253.552,
2008-07,299.806,
2008-10,240.750,
2009-01,166.184,
2009-04,196.306,
2009-07,260.092,
2009-10,178.833,
2010-01,158.909,
2010-04,206.998,
2010-07,278.830,
2010-10,199.011,
2011-01,164.384,
2011-04,207.856,
2011-07,292.428,
2011-10,224.289,
2012-01,178.520,
2012-04,206.945,
2012-07,282.510,
2012-10,221.174,
2013-01,185.802,
2013-04,210.177,
2013-07,279.306,
2013-10,224.631,
2014-01,185.818,Provisional value
2014-04,248.636,Provisional value
2014-07,305.242,Provisional value
2014-10,241.859,Provisional value
