"",BBK01.OEXM04U,BBK01.OEXM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:53,
2002-01,0.202,
2002-04,0.210,
2002-07,0.203,
2002-10,0.143,
2003-01,0.168,
2003-04,0.137,
2003-07,0.147,
2003-10,0.139,
2004-01,0.163,
2004-04,0.121,
2004-07,0.138,
2004-10,0.132,
2005-01,0.125,
2005-04,0.138,
2005-07,0.180,
2005-10,0.146,
2006-01,0.174,
2006-04,0.185,
2006-07,0.257,
2006-10,0.322,
2007-01,0.344,
2007-04,0.371,
2007-07,0.406,
2007-10,0.390,
2008-01,0.396,
2008-04,0.437,
2008-07,0.445,
2008-10,0.333,
2009-01,0.099,
2009-04,0.042,
2009-07,0.033,
2009-10,0.014,
2010-01,0.014,
2010-04,0.015,
2010-07,0.013,
2010-10,0.014,
2011-01,0.037,
2011-04,0.074,
2011-07,0.086,
2011-10,0.251,
2012-01,0.298,
2012-04,0.357,
2012-07,0.379,
2012-10,0.369,
2013-01,0.371,
2013-04,0.364,
2013-07,0.357,
2013-10,0.290,
2014-01,0.341,
2014-04,0.326,
2014-07,0.306,
