"",BBK01.SUD223,BBK01.SUD223_FLAGS
"",New business (volumes) of German banks / Revolving loans and overdrafts to non-financial corporations,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:14,
2003-01,96563,
2003-02,96831,
2003-03,94106,
2003-04,91535,
2003-05,90296,
2003-06,93175,
2003-07,88185,
2003-08,86025,
2003-09,88489,
2003-10,85930,
2003-11,88429,
2003-12,87201,
2004-01,84562,
2004-02,86480,
2004-03,87095,
2004-04,84844,
2004-05,81810,
2004-06,84291,
2004-07,80484,
2004-08,77547,
2004-09,81220,
2004-10,79457,
2004-11,80969,
2004-12,76804,
2005-01,74567,
2005-02,78066,
2005-03,74692,
2005-04,71303,
2005-05,71559,
2005-06,72936,
2005-07,69329,
2005-08,67834,
2005-09,71180,
2005-10,70819,
2005-11,69640,
2005-12,69127,
2006-01,68636,
2006-02,67921,
2006-03,68216,
2006-04,69334,
2006-05,69129,
2006-06,70516,
2006-07,68078,
2006-08,66594,
2006-09,67633,
2006-10,65477,
2006-11,67111,
2006-12,65780,
2007-01,65849,
2007-02,66262,
2007-03,68119,
2007-04,66910,
2007-05,65747,
2007-06,69428,
2007-07,68935,
2007-08,64559,
2007-09,69525,
2007-10,65820,
2007-11,67908,
2007-12,71200,
2008-01,70142,
2008-02,75934,
2008-03,80965,
2008-04,80182,
2008-05,80154,
2008-06,85801,
2008-07,82949,
2008-08,82270,
2008-09,85079,
2008-10,83629,
2008-11,85604,
2008-12,84891,
2009-01,83490,
2009-02,84220,
2009-03,84903,
2009-04,82312,
2009-05,81653,
2009-06,82602,
2009-07,76756,
2009-08,77358,
2009-09,76050,
2009-10,72593,
2009-11,72412,
2009-12,67483,
2010-01,69286,
2010-02,68416,
2010-03,66593,
2010-04,64035,
2010-05,63191,
2010-06,70537,
2010-07,66073,
2010-08,64337,
2010-09,65969,
2010-10,64108,
2010-11,63904,
2010-12,62342,
2011-01,64347,
2011-02,67580,
2011-03,67799,
2011-04,65901,
2011-05,65099,
2011-06,69071,
2011-07,67417,
2011-08,65817,
2011-09,70844,
2011-10,67720,
2011-11,68016,
2011-12,64484,
2012-01,68690,
2012-02,70603,
2012-03,71960,
2012-04,70471,
2012-05,70470,
2012-06,71876,
2012-07,69432,
2012-08,68387,
2012-09,70889,
2012-10,67784,
2012-11,68968,
2012-12,69044,
2013-01,68280,
2013-02,70383,
2013-03,72031,
2013-04,68777,
2013-05,68890,
2013-06,69530,
2013-07,66406,
2013-08,66472,
2013-09,68982,
2013-10,66316,
2013-11,66944,
2013-12,66572,
2014-01,65106,
2014-02,66281,
2014-03,68379,
2014-04,66493,
2014-05,65901,
2014-06,69358,
2014-07,65707,
2014-08,65562,
2014-09,66287,
2014-10,62600,
2014-11,64185,
2014-12,63329,Provisional value
"",General: From June 2010 including revolving loans. New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding lending business at the end of the month has to be incorporated in the calculation of volumes. From January 2003 up to May 2010 estimated. The volume of outstanding amounts reported was extrapolated to form the underlying total using the Horvitz-Thompson estimator. From June 2010 the data are based on monthly balance sheet statistics. Overdrafts are defined as debit balances on current accounts. They include all bank overdrafts regardless of whether they are within or beyond the limits agreed between customers and the bank. Revolving loans are loans that have all the following features: 1) the borrowers may use or withdraw funds to a pre-approved credit limit without giving prior notice to the lender; 2) the amount of available credit can increase and decrease as funds are borrowed and repaid; 3) the credit may be used repeatedly; 4) there is no obligation of regular repayment of funds. p = Provisional,
