"",BBK01.OEAB04V,BBK01.OEAB04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:01,
2002-01,49.161,
2002-04,48.927,
2002-07,49.348,
2002-10,49.102,
2003-01,48.668,
2003-04,48.399,
2003-07,48.611,
2003-10,48.368,
2004-01,48.204,
2004-04,48.436,
2004-07,48.575,
2004-10,47.813,
2005-01,48.484,
2005-04,48.794,
2005-07,49.391,
2005-10,49.237,
2006-01,48.734,
2006-04,48.703,
2006-07,48.416,
2006-10,48.105,
2007-01,47.392,
2007-04,46.603,
2007-07,46.623,
2007-10,46.351,
2008-01,44.919,
2008-04,37.903,
2008-07,38.294,
2008-10,38.579,
2009-01,37.538,
2009-04,41.114,
2009-07,41.119,
2009-10,44.319,
2010-01,44.577,
2010-04,43.553,
2010-07,42.085,
2010-10,42.164,
2011-01,42.802,
2011-04,42.844,
2011-07,44.127,
2011-10,44.095,
2012-01,44.176,
2012-04,45.984,
2012-07,45.937,
2012-10,45.905,
2013-01,45.763,
2013-04,45.864,
2013-07,46.260,
2013-10,46.327,
2014-01,46.741,
2014-04,47.319,
2014-07,47.511,
