"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Netherlands / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:34,
2009-09,8489,
2009-10,8572,
2009-11,8645,
2009-12,8562,
2010-01,9624,
2010-02,9782,
2010-03,10370,
2010-04,10521,
2010-05,10505,
2010-06,10768,
2010-07,11428,
2010-08,12226,
2010-09,12739,
2010-10,12895,
2010-11,12745,
2010-12,12813,
2011-01,13336,
2011-02,13606,
2011-03,13580,
2011-04,13888,
2011-05,14018,
2011-06,13929,
2011-07,14226,
2011-08,14667,
2011-09,14520,
2011-10,14470,
2011-11,14213,
2011-12,14483,
2012-01,15519,
2012-02,15784,
2012-03,16285,
2012-04,16051,
2012-05,16435,
2012-06,16620,
2012-07,17809,
2012-08,18742,
2012-09,18566,
2012-10,18487,
2012-11,18603,
2012-12,18684,
2013-01,18046,
2013-02,18199,
2013-03,17838,
2013-04,17918,
2013-05,18210,
2013-06,17686,
2013-07,17697,
2013-08,17402,
2013-09,17523,
2013-10,17589,
2013-11,17245,
2013-12,17148,
2014-01,17513,
2014-02,17633,
2014-03,17514,
2014-04,17558,
2014-05,17804,
2014-06,17703,
2014-07,17911,
2014-08,18016,
2014-09,17810,
2014-10,17919,
2014-11,17313,
