"",BBK01.OEBB19M,BBK01.OEBB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:32,
2002-01,6.749,
2002-04,6.974,
2002-07,7.326,
2002-10,7.667,
2003-01,7.725,
2003-04,7.970,
2003-07,8.266,
2003-10,8.302,
2004-01,8.179,
2004-04,8.369,
2004-07,8.567,
2004-10,7.768,
2005-01,9.149,
2005-04,7.932,
2005-07,7.376,
2005-10,7.538,
2006-01,7.560,
2006-04,7.943,
2006-07,8.399,
2006-10,8.166,
2007-01,7.834,
2007-04,7.324,
2007-07,7.600,
2007-10,7.647,
2008-01,6.897,
2008-04,6.880,
2008-07,6.375,
2008-10,6.612,
2009-01,7.131,
2009-04,7.984,
2009-07,8.536,
2009-10,9.062,
2010-01,9.302,
2010-04,9.380,
2010-07,9.753,
2010-10,9.992,
2011-01,9.552,
2011-04,9.315,
2011-07,9.111,
2011-10,9.268,
2012-01,9.456,
2012-04,9.935,
2012-07,10.246,
2012-10,10.571,
2013-01,10.110,
2013-04,10.637,
2013-07,10.572,
2013-10,10.960,
2014-01,11.221,
2014-04,10.607,
2014-07,11.144,
