"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:10,
2009-09,1549,
2009-10,1544,
2009-11,1563,
2009-12,1585,
2010-01,1507,
2010-02,1584,
2010-03,1682,
2010-04,1686,
2010-05,1537,
2010-06,1555,
2010-07,1620,
2010-08,1603,
2010-09,1750,
2010-10,1782,
2010-11,1844,
2010-12,1964,
2011-01,1781,
2011-02,1808,
2011-03,1858,
2011-04,1945,
2011-05,1930,
2011-06,1808,
2011-07,1819,
2011-08,1628,
2011-09,1439,
2011-10,1680,
2011-11,1706,
2011-12,1716,
2012-01,1909,
2012-02,1996,
2012-03,1928,
2012-04,1964,
2012-05,1742,
2012-06,1785,
2012-07,1916,
2012-08,1926,
2012-09,1926,
2012-10,1967,
2012-11,1893,
2012-12,1961,
2013-01,2052,
2013-02,2232,
2013-03,2277,
2013-04,2262,
2013-05,2024,
2013-06,1885,
2013-07,1923,
2013-08,1958,
2013-09,2041,
2013-10,2126,
2013-11,2006,
2013-12,2149,
2014-01,2176,
2014-02,2309,
2014-03,2422,
2014-04,2476,
2014-05,2614,
2014-06,2626,
2014-07,2662,
2014-08,2718,
2014-09,2487,
2014-10,2614,
2014-11,2441,
