"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Slovenia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:42,
2009-09,523,
2009-10,518,
2009-11,517,
2009-12,546,
2010-01,705,
2010-02,665,
2010-03,790,
2010-04,860,
2010-05,869,
2010-06,860,
2010-07,858,
2010-08,878,
2010-09,874,
2010-10,853,
2010-11,832,
2010-12,798,
2011-01,823,
2011-02,829,
2011-03,941,
2011-04,936,
2011-05,926,
2011-06,871,
2011-07,789,
2011-08,761,
2011-09,746,
2011-10,725,
2011-11,659,
2011-12,678,
2012-01,686,
2012-02,693,
2012-03,703,
2012-04,705,
2012-05,714,
2012-06,694,
2012-07,601,
2012-08,542,
2012-09,545,
2012-10,586,
2012-11,577,
2012-12,729,
2013-01,752,
2013-02,736,
2013-03,614,
2013-04,708,
2013-05,700,
2013-06,669,
2013-07,689,
2013-08,681,
2013-09,651,
2013-10,711,
2013-11,815,
2013-12,922,
2014-01,999,
2014-02,1312,
2014-03,1512,
2014-04,1597,
2014-05,1589,
2014-06,1638,
2014-07,1572,
2014-08,1592,
2014-09,1598,
2014-10,1745,
2014-11,1821,
