"",BBSF2.M.1.S.00000.GEM01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:52,
2009-09,4117,
2009-10,8281,
2009-11,4364,
2009-12,7898,
2010-01,6567,
2010-02,3294,
2010-03,3777,
2010-04,4085,
2010-05,2686,
2010-06,5462,
2010-07,5161,
2010-08,2428,
2010-09,2797,
2010-10,4951,
2010-11,2370,
2010-12,5865,
2011-01,3156,
2011-02,2365,
2011-03,2276,
2011-04,2627,
2011-05,1391,
2011-06,1642,
2011-07,1466,
2011-08,1247,
2011-09,1327,
2011-10,2704,
2011-11,5981,
2011-12,4424,
2012-01,3289,
2012-02,8101,
2012-03,4716,
2012-04,2549,
2012-05,2345,
2012-06,2823,
2012-07,2625,
2012-08,1627,
2012-09,3362,
2012-10,2984,
2012-11,8416,
2012-12,8933,
2013-01,4113,
2013-02,7368,
2013-03,6508,
2013-04,2358,
2013-05,4287,
2013-06,4450,
2013-07,4170,
2013-08,2645,
2013-09,1929,
2013-10,1790,
2013-11,3604,
2013-12,8080,
2014-01,4384,
2014-02,4456,
2014-03,3934,
2014-04,3600,
2014-05,3158,
2014-06,3766,
2014-07,7251,
2014-08,3925,
2014-09,4425,
2014-10,4156,
2014-11,3342,
