"",BBAI3.Q.DE.N.V.LE.F511.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:52,
2005-10,25,
2006-01,32,
2006-04,32,
2006-07,33,
2006-10,32,
2007-01,30,
2007-04,33,
2007-07,30,
2007-10,30,
2008-01,25,
2008-04,20,
2008-07,17,
2008-10,12,
2009-01,9,
2009-04,8,
2009-07,10,
2009-10,14,
2010-01,13,
2010-04,10,
2010-07,12,
2010-10,18,
2011-01,19,
2011-04,18,
2011-07,10,
2011-10,18,
2012-01,17,
2012-04,19,
2012-07,15,
2012-10,21,
2013-01,13,
2013-04,16,
2013-07,10,
2013-10,10,
2014-01,12,
2014-04,15,
2014-07,15,
