"",BBK01.OEAG03O,BBK01.OEAG03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:27,
2002-01,-1.576,
2002-04,-1.778,
2002-07,-1.650,
2002-10,-0.509,
2003-01,-0.198,
2003-04,-0.094,
2003-07,0.167,
2003-10,1.330,
2004-01,0.727,
2004-04,1.040,
2004-07,1.710,
2004-10,2.144,
2005-01,6.505,
2005-04,6.341,
2005-07,6.217,
2005-10,5.967,
2006-01,6.164,
2006-04,5.484,
2006-07,5.400,
2006-10,5.247,
2007-01,5.295,
2007-04,4.831,
2007-07,4.470,
2007-10,4.457,
2008-01,4.120,
2008-04,3.671,
2008-07,1.590,
2008-10,2.297,
2009-01,1.792,
2009-04,1.487,
2009-07,1.488,
2009-10,1.959,
2010-01,1.557,
2010-04,1.264,
2010-07,1.216,
2010-10,1.018,
2011-01,1.039,
2011-04,0.980,
2011-07,0.959,
2011-10,0.929,
2012-01,0.856,
2012-04,0.795,
2012-07,0.657,
2012-10,0.658,
2013-01,0.612,
2013-04,0.604,
2013-07,0.571,
2013-10,0.548,
2014-01,0.722,
2014-04,0.757,
2014-07,0.564,
