"",BBK01.OEYL05O,BBK01.OEYL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:22,
2002-01,4.998,
2002-04,5.026,
2002-07,5.112,
2002-10,5.409,
2003-01,5.638,
2003-04,5.695,
2003-07,5.813,
2003-10,6.085,
2004-01,6.370,
2004-04,6.448,
2004-07,6.581,
2004-10,7.012,
2005-01,7.310,
2005-04,7.407,
2005-07,7.525,
2005-10,7.702,
2006-01,7.833,
2006-04,7.805,
2006-07,7.823,
2006-10,7.888,
2007-01,7.862,
2007-04,7.773,
2007-07,7.714,
2007-10,7.810,
2008-01,7.861,
2008-04,7.756,
2008-07,7.613,
2008-10,7.703,
2009-01,7.761,
2009-04,7.682,
2009-07,7.717,
2009-10,8.092,
2010-01,8.511,
2010-04,8.557,
2010-07,8.657,
2010-10,8.830,
2011-01,8.931,
2011-04,8.842,
2011-07,8.845,
2011-10,9.047,
2012-01,9.225,
2012-04,9.268,
2012-07,9.344,
2012-10,9.552,
2013-01,9.563,
2013-04,9.502,
2013-07,9.522,
2013-10,9.646,
2014-01,9.677,
2014-04,9.628,
2014-07,9.688,
