"",BBK01.OEHB02V,BBK01.OEHB02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:39,
2002-01,2.046,
2002-04,2.103,
2002-07,2.157,
2002-10,2.100,
2003-01,2.114,
2003-04,2.204,
2003-07,2.216,
2003-10,2.176,
2004-01,2.123,
2004-04,2.097,
2004-07,1.954,
2004-10,1.846,
2005-01,1.929,
2005-04,1.828,
2005-07,1.704,
2005-10,1.775,
2006-01,1.721,
2006-04,1.585,
2006-07,1.503,
2006-10,1.507,
2007-01,1.489,
2007-04,1.466,
2007-07,1.456,
2007-10,1.450,
2008-01,1.391,
2008-04,1.345,
2008-07,1.369,
2008-10,1.293,
2009-01,1.324,
2009-04,1.430,
2009-07,1.320,
2009-10,1.246,
2010-01,1.190,
2010-04,1.093,
2010-07,1.095,
2010-10,1.087,
2011-01,1.047,
2011-04,1.095,
2011-07,1.082,
2011-10,1.037,
2012-01,1.046,
2012-04,1.042,
2012-07,0.935,
2012-10,0.897,
2013-01,0.875,
2013-04,0.864,
2013-07,0.854,
2013-10,0.815,
2014-01,0.796,
2014-04,0.833,
2014-07,0.838,
