"",BBK01.OEAH94N,BBK01.OEAH94N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:45,
2002-01,1.774,
2002-04,1.772,
2002-07,1.808,
2002-10,1.757,
2003-01,1.736,
2003-04,1.768,
2003-07,1.760,
2003-10,1.762,
2004-01,1.754,
2004-04,1.794,
2004-07,1.694,
2004-10,1.821,
2005-01,1.812,
2005-04,2.002,
2005-07,1.829,
2005-10,1.813,
2006-01,1.781,
2006-04,1.741,
2006-07,1.706,
2006-10,1.698,
2007-01,1.678,
2007-04,1.676,
2007-07,1.663,
2007-10,1.621,
2008-01,1.587,
2008-04,1.576,
2008-07,1.501,
2008-10,1.461,
2009-01,1.344,
2009-04,1.386,
2009-07,1.330,
2009-10,1.251,
2010-01,1.695,
2010-04,1.662,
2010-07,1.593,
2010-10,1.656,
2011-01,1.660,
2011-04,1.656,
2011-07,1.700,
2011-10,1.684,
2012-01,1.688,
2012-04,1.642,
2012-07,1.668,
2012-10,1.691,
2013-01,1.612,
2013-04,1.601,
2013-07,1.545,
2013-10,1.548,
2014-01,1.513,
2014-04,1.468,
2014-07,1.461,
