"",BBK01.OEAA48L,BBK01.OEAA48L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:34,
2002-01,1.368,
2002-04,1.351,
2002-07,1.376,
2002-10,1.384,
2003-01,1.428,
2003-04,1.395,
2003-07,1.408,
2003-10,1.410,
2004-01,1.439,
2004-04,1.409,
2004-07,1.431,
2004-10,1.420,
2005-01,1.454,
2005-04,1.414,
2005-07,0.166,
2005-10,0.162,
2006-01,0.157,
2006-04,0.154,
2006-07,0.172,
2006-10,0.176,
2007-01,0.173,
2007-04,0.174,
2007-07,0.171,
2007-10,0.168,
2008-01,0.898,
2008-04,0.194,
2008-07,0.189,
2008-10,0.147,
2009-01,0.145,
2009-04,0.140,
2009-07,0.112,
2009-10,0.111,
2010-01,0.107,
2010-04,0.105,
2010-07,0.087,
2010-10,0.085,
2011-01,0.068,
2011-04,0.066,
2011-07,0.066,
2011-10,0.067,
2012-01,0.064,
2012-04,0.066,
2012-07,0.064,
2012-10,0.065,
2013-01,0.065,
2013-04,0.064,
2013-07,0.066,
2013-10,0.064,
2014-01,0.066,
2014-04,0.061,
2014-07,0.061,
