"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:50,
1991-01,622.526,
1991-04,-817.798,
1991-07,-632.827,
1991-10,2249.251,
1992-01,657.255,
1992-04,-824.327,
1992-07,-302.278,
1992-10,1899.890,
1993-01,-466.191,
1993-04,-727.547,
1993-07,231.154,
1993-10,-1111.540,
1994-01,-863.168,
1994-04,-240.126,
1994-07,-1026.251,
1994-10,446.162,
1995-01,-651.734,
1995-04,294.908,
1995-07,-1401.678,
1995-10,866.893,
1996-01,-399.719,
1996-04,-121.456,
1996-07,-462.385,
1996-10,2622.864,
1997-01,108.633,
1997-04,-355.212,
1997-07,-932.969,
1997-10,-335.202,
1998-01,2648.724,
1998-04,2455.245,
1998-07,1873.777,
1998-10,1478.197,
1999-01,336.397,
1999-04,-22011.152,
1999-07,6785.186,
1999-10,26424.792,
2000-01,2756.370,
2000-04,-5936.965,
2000-07,156.325,
2000-10,363.375,
2001-01,10292.738,
2001-04,-3583.816,
2001-07,2491.505,
2001-10,-3256.371,
2002-01,-1793.780,
2002-04,6961.568,
2002-07,-2792.884,
2002-10,1066.035,
2003-01,5581.573,
2003-04,-145.598,
2003-07,-598.313,
2003-10,-5736.256,
2004-01,4650.775,
2004-04,-211.819,
2004-07,-1357.579,
2004-10,216.722,
2005-01,10779.406,
2005-04,5977.714,
2005-07,84.736,
2005-10,2054.713,
2006-01,7783.736,
2006-04,-3297.689,
2006-07,7161.771,
2006-10,-3407.705,
2007-01,1137.138,
2007-04,35814.813,
2007-07,-7269.305,
2007-10,2368.166,
2008-01,-12014.483,
2008-04,1954.593,
2008-07,-4641.156,
2008-10,-14709.409,
2009-01,-4717.853,
2009-04,-2717.781,
2009-07,-7440.151,
2009-10,595.137,
2010-01,-50.326,
2010-04,-1548.314,
2010-07,-1851.608,
2010-10,34.661,
2011-01,3954.006,
2011-04,685.031,
2011-07,-1559.553,
2011-10,2709.711,
2012-01,-9141.131,
2012-04,1495.324,
2012-07,-2812.839,
2012-10,-2349.704,
2013-01,-1280.673,
2013-04,4458.533,
2013-07,-3868.587,
2013-10,2114.675,
2014-01,-1864.973,Provisional value
2014-04,2780.966,Provisional value
2014-07,-1108.147,Provisional value
2014-10,3624.560,Provisional value
