"",BBSF2.M.1.T.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:14,
2009-09,28044,
2009-10,27849,
2009-11,28175,
2009-12,28150,
2010-01,28605,
2010-02,28415,
2010-03,28885,
2010-04,29082,
2010-05,29250,
2010-06,29641,
2010-07,30188,
2010-08,30061,
2010-09,30947,
2010-10,29828,
2010-11,31520,
2010-12,30042,
2011-01,30252,
2011-02,30349,
2011-03,30341,
2011-04,30060,
2011-05,29808,
2011-06,30199,
2011-07,29794,
2011-08,29915,
2011-09,29925,
2011-10,29908,
2011-11,29812,
2011-12,29447,
2012-01,29706,
2012-02,29312,
2012-03,29811,
2012-04,31773,
2012-05,31002,
2012-06,33124,
2012-07,30309,
2012-08,29998,
2012-09,30053,
2012-10,29479,
2012-11,30225,
2012-12,32145,
2013-01,31494,
2013-02,31775,
2013-03,31502,
2013-04,33109,
2013-05,31467,
2013-06,31251,
2013-07,30197,
2013-08,30381,
2013-09,29604,
2013-10,30393,
2013-11,28496,
2013-12,29223,
2014-01,29791,
2014-02,29124,
2014-03,28153,
2014-04,30967,
2014-05,28563,
2014-06,28497,
2014-07,29043,
2014-08,28998,
2014-09,29593,
2014-10,28992,
2014-11,29073,
