"",BBSF2.M.1.S.I0122.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:53,
2009-09,1131,
2009-10,673,
2009-11,1427,
2009-12,1659,
2010-01,4545,
2010-02,933,
2010-03,902,
2010-04,683,
2010-05,412,
2010-06,815,
2010-07,834,
2010-08,860,
2010-09,885,
2010-10,2973,
2010-11,747,
2010-12,838,
2011-01,368,
2011-02,614,
2011-03,326,
2011-04,621,
2011-05,324,
2011-06,361,
2011-07,327,
2011-08,85,
2011-09,87,
2011-10,256,
2011-11,671,
2011-12,774,
2012-01,103,
2012-02,433,
2012-03,1240,
2012-04,369,
2012-05,560,
2012-06,741,
2012-07,654,
2012-08,301,
2012-09,435,
2012-10,491,
2012-11,647,
2012-12,1491,
2013-01,330,
2013-02,3116,
2013-03,1436,
2013-04,866,
2013-05,576,
2013-06,608,
2013-07,594,
2013-08,339,
2013-09,308,
2013-10,123,
2013-11,914,
2013-12,1361,
2014-01,721,
2014-02,526,
2014-03,434,
2014-04,1015,
2014-05,1037,
2014-06,544,
2014-07,1162,
2014-08,551,
2014-09,779,
2014-10,1340,
2014-11,955,
