"",BBK01.OEAD35J,BBK01.OEAD35J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:29,
2002-01,0.066,
2002-04,0.061,
2002-07,0.074,
2002-10,0.071,
2003-01,0.067,
2003-04,0.068,
2003-07,0.064,
2003-10,0.064,
2004-01,0.065,
2004-04,0.067,
2004-07,0.063,
2004-10,0.056,
2005-01,0.056,
2005-04,0.053,
2005-07,0.050,
2005-10,0.062,
2006-01,0.056,
2006-04,0.056,
2006-07,0.055,
2006-10,0.053,
2007-01,0.050,
2007-04,0.047,
2007-07,0.057,
2007-10,0.057,
2008-01,0.060,
2008-04,0.074,
2008-07,0.076,
2008-10,0.108,
2009-01,0.114,
2009-04,0.110,
2009-07,0.107,
2009-10,0.102,
2010-01,0.048,
2010-04,0.101,
2010-07,0.096,
2010-10,0.092,
2011-01,0.094,
2011-04,0.091,
2011-07,0.094,
2011-10,0.093,
2012-01,0.090,
2012-04,0.085,
2012-07,0.075,
2012-10,0.074,
2013-01,0.071,
2013-04,0.068,
2013-07,0.062,
2013-10,0.053,
2014-01,0.051,
2014-04,0.049,
2014-07,0.064,
