"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.GR.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:04,
2009-09,440,
2009-10,439,
2009-11,351,
2009-12,331,
2010-01,315,
2010-02,318,
2010-03,334,
2010-04,247,
2010-05,204,
2010-06,183,
2010-07,204,
2010-08,187,
2010-09,176,
2010-10,190,
2010-11,173,
2010-12,171,
2011-01,191,
2011-02,193,
2011-03,212,
2011-04,192,
2011-05,164,
2011-06,155,
2011-07,148,
2011-08,108,
2011-09,89,
2011-10,95,
2011-11,73,
2011-12,70,
2012-01,75,
2012-02,62,
2012-03,54,
2012-04,53,
2012-05,33,
2012-06,32,
2012-07,28,
2012-08,27,
2012-09,26,
2012-10,40,
2012-11,46,
2012-12,50,
2013-01,65,
2013-02,78,
2013-03,69,
2013-04,79,
2013-05,80,
2013-06,79,
2013-07,87,
2013-08,85,
2013-09,97,
2013-10,113,
2013-11,120,
2013-12,118,
2014-01,120,
2014-02,140,
2014-03,144,
2014-04,145,
2014-05,189,
2014-06,182,
2014-07,145,
2014-08,135,
2014-09,120,
2014-10,95,
2014-11,97,
