"",BBQFS.Q.DE.BANK.SEC_SHRS_DIR.DE.CORP,BBQFS.Q.DE.BANK.SEC_SHRS_DIR.DE.CORP_FLAGS
"","Securities held by banks in Germany - shares issued by domestic non-financial corporations, held directly (FSR 2014)",
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:37,
2002-01,36.61,
2002-04,33.15,
2002-07,28.74,
2002-10,26.56,
2003-01,22.91,
2003-04,23.52,
2003-07,24.07,
2003-10,30.88,
2004-01,37.63,
2004-04,32.27,
2004-07,28.96,
2004-10,36.51,
2005-01,39.07,
2005-04,32.50,
2005-07,36.63,
2005-10,38.12,
2006-01,46.70,
2006-04,41.16,
2006-07,39.11,
2006-10,44.90,
2007-01,46.13,
2007-04,28.49,
2007-07,24.27,
2007-10,22.23,
2008-01,31.29,
2008-04,27.92,
2008-07,30.00,
2008-10,21.87,
2009-01,18.16,
2009-04,16.04,
2009-07,8.38,
2009-10,13.39,
2010-01,13.98,
2010-04,9.48,
2010-07,7.94,
2010-10,15.35,
2011-01,22.86,
2011-04,17.85,
2011-07,10.81,
2011-10,12.98,
2012-01,23.10,
2012-04,10.90,
2012-07,15.43,
2012-10,15.51,
2013-01,20.22,
2013-04,18.76,
2013-07,21.66,
2013-10,18.55,
2014-01,23.93,
2014-04,24.50,
2014-07,24.85,
"",Methodology: As reported in financial statements,
