"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Production sector (excluding construction) / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:11,
1991-01,89.51,
1991-04,93.69,
1991-07,94.67,
1991-10,96.13,
1992-01,94.95,
1992-04,100.99,
1992-07,103.61,
1992-10,104.83,
1993-01,103.47,
1993-04,106.21,
1993-07,106.22,
1993-10,105.43,
1994-01,103.77,
1994-04,103.29,
1994-07,103.29,
1994-10,101.85,
1995-01,102.93,
1995-04,106.29,
1995-07,106.94,
1995-10,107.30,
1996-01,108.95,
1996-04,109.04,
1996-07,107.90,
1996-10,106.93,
1997-01,109.43,
1997-04,103.62,
1997-07,104.16,
1997-10,103.27,
1998-01,104.80,
1998-04,106.78,
1998-07,106.17,
1998-10,108.43,
1999-01,109.49,
1999-04,108.93,
1999-07,107.57,
1999-10,105.55,
2000-01,104.91,
2000-04,106.23,
2000-07,105.92,
2000-10,105.26,
2001-01,103.60,
2001-04,106.67,
2001-07,106.64,
2001-10,106.78,
2002-01,108.13,
2002-04,106.13,
2002-07,105.66,
2002-10,105.90,
2003-01,106.03,
2003-04,106.59,
2003-07,105.04,
2003-10,104.26,
2004-01,103.25,
2004-04,101.17,
2004-07,100.94,
2004-10,101.49,
2005-01,103.37,
2005-04,98.45,
2005-07,99.44,
2005-10,99.12,
2006-01,96.40,
2006-04,97.03,
2006-07,97.63,
2006-10,94.89,
2007-01,94.68,
2007-04,96.05,
2007-07,95.07,
2007-10,94.65,
2008-01,97.36,
2008-04,94.90,
2008-07,98.57,
2008-10,107.29,
2009-01,118.09,
2009-04,114.87,
2009-07,110.46,
2009-10,108.39,
2010-01,103.43,
2010-04,99.78,
2010-07,99.38,
2010-10,97.69,
2011-01,98.40,
2011-04,98.98,
2011-07,98.07,
2011-10,100.30,
2012-01,97.76,
2012-04,101.41,
2012-07,101.27,
2012-10,103.55,
2013-01,105.12,
2013-04,103.51,
2013-07,103.91,
2013-10,103.91,
2014-01,104.71,
2014-04,106.31,
2014-07,105.32,
2014-10,106.11,
