"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:27,
2009-09,7731,
2009-10,7403,
2009-11,7159,
2009-12,7549,
2010-01,7146,
2010-02,6839,
2010-03,7563,
2010-04,7144,
2010-05,6211,
2010-06,6107,
2010-07,6585,
2010-08,6296,
2010-09,6477,
2010-10,6817,
2010-11,6055,
2010-12,6336,
2011-01,7065,
2011-02,7497,
2011-03,7286,
2011-04,7593,
2011-05,7039,
2011-06,7003,
2011-07,6365,
2011-08,5182,
2011-09,4830,
2011-10,5356,
2011-11,4873,
2011-12,4849,
2012-01,5428,
2012-02,5554,
2012-03,5396,
2012-04,5018,
2012-05,4470,
2012-06,4811,
2012-07,4619,
2012-08,4784,
2012-09,4999,
2012-10,5064,
2012-11,5165,
2012-12,5423,
2013-01,5685,
2013-02,5182,
2013-03,4905,
2013-04,5432,
2013-05,5530,
2013-06,4892,
2013-07,5222,
2013-08,5451,
2013-09,5689,
2013-10,6402,
2013-11,6334,
2013-12,6285,
2014-01,6282,
2014-02,6822,
2014-03,7572,
2014-04,7902,
2014-05,7830,
2014-06,7718,
2014-07,7655,
2014-08,7505,
2014-09,7600,
2014-10,7054,
2014-11,7019,
